,sox_unlimited_gram_salad,sox_unlimited_cilantro_salad,sox_unlimited_vegetable_salad
0,14.3,15.105,45.67
1,14.15,15.425,45.565
2,14.17,15.495,45.555
3,14.455,15.334999999999999,45.2
4,14.3,15.56,45.21
5,14.63,14.649999999999999,44.59
6,14.795000000000002,14.719999999999999,44.425
7,14.515,14.510000000000002,44.25
8,14.685,14.48,44.375
9,14.25,14.54,44.435
10,14.375,14.49,44.265
11,14.43,13.825,44.045
12,14.25,13.855,43.78
13,14.29,12.41,44.345
14,14.309999999999999,12.41,44.215
15,14.465,12.445,44.165000000000006
16,14.34,12.635000000000002,44.415
17,14.219999999999999,12.489999999999998,44.265
18,14.195,12.535,44.375
19,14.475000000000001,12.6,44.275000000000006
20,14.059999999999999,12.565,44.185
21,13.85,12.559999999999999,44.245000000000005
22,13.879999999999999,12.555,44.515
23,13.865,12.600000000000001,44.370000000000005
24,13.57,12.105,44.195
25,13.594999999999999,12.260000000000002,44.305
26,14.375,12.055,44.325
27,14.28,12.055,44.235
28,13.825,12.17,44.165
29,13.879999999999999,12.030000000000001,44.325
30,13.754999999999999,11.96,44.08
31,13.885,12.11,44.07
32,13.795,12.030000000000001,44.175
33,13.84,11.98,44.075
34,13.815000000000001,10.13,44.015
35,13.915,10.125,44.325
36,13.585,10.885,44.165
37,13.485,10.615,44.2
38,13.355,10.84,44.165
39,13.55,10.675,44.185
40,13.665,10.8,44.39
41,13.614999999999998,11.015,44.245000000000005
42,13.594999999999999,10.934999999999999,44.09
43,14.125238999999999,13.170235,47.056285
44,14.125238999999999,13.170235,47.056285
45,14.125238999999999,13.170235,47.056285
46,14.125238999999999,13.170235,47.056285
47,14.125238999999999,13.170235,47.056285
48,14.125238999999999,13.170235,47.056285
49,14.125238999999999,13.170235,47.056285
50,14.125238999999999,13.170235,47.056354999999996
51,14.125238999999999,13.170235,47.056354999999996
52,14.125238999999999,13.170235,47.056354999999996
53,14.125238999999999,13.170235,47.056354999999996
54,14.125238999999999,13.170235,47.056354999999996
55,14.125238999999999,13.170235,47.056354999999996
56,14.125238999999999,13.170235,47.056354999999996
57,14.125238999999999,13.170235,47.056354999999996
58,14.125238999999999,13.170235,47.056354999999996
59,14.125238999999999,13.170235,47.056354999999996
60,14.125238999999999,13.170235,47.056354999999996
61,14.125238999999999,13.170235,47.056354999999996
62,14.125238999999999,13.170235,47.056354999999996
63,14.125238999999999,13.170235,47.056354999999996
64,14.125238999999999,13.170235,47.056354999999996
65,14.125238999999999,13.170235,47.056354999999996
66,14.125238999999999,13.170235,47.056354999999996
67,14.125238999999999,13.170235,47.056354999999996
68,14.125238999999999,13.170235,47.056354999999996
69,14.125238999999999,13.170235,47.056354999999996
70,14.125238999999999,13.170235,47.056354999999996
71,14.125238999999999,13.170235,47.056354999999996
72,14.125238999999999,13.170235,47.056354999999996
73,14.125238999999999,13.170235,47.056354999999996
74,14.125238999999999,13.170235,47.056354999999996
75,14.125238999999999,13.170235,47.056354999999996
76,14.125238999999999,13.170235,47.056354999999996
77,14.125238999999999,13.170235,47.056354999999996
78,14.125238999999999,13.170235,47.056354999999996
79,14.125238999999999,13.170235,47.056354999999996
80,14.125238999999999,13.170235,47.056354999999996
81,12.17,11.96,44.425
82,12.325,11.975000000000001,44.125
83,12.16,11.89,44.150000000000006
84,12.645,11.675,43.945
85,12.465,11.54,43.995000000000005
86,12.41,11.575,44.015
87,12.42,11.81,44.065
88,12.715,11.94,44.095
89,12.495000000000001,12.51,44.019999999999996
90,12.31,11.780000000000001,44.025000000000006
91,12.395,11.55,44.17
92,12.1,11.165,44.0
93,11.885000000000002,11.43,44.055
94,11.895,11.309999999999999,44.085
95,11.825,11.18,44.0
96,11.870000000000001,11.29,44.03
97,11.685,11.265,43.755
98,11.57,11.3,43.975
99,11.45,11.275,43.935
100,13.305,11.98,44.480000000000004
101,13.14,12.015,43.754999999999995
102,12.73,12.05,44.25
103,12.64,12.2,44.025
104,12.415,12.33,44.105000000000004
105,12.47,12.31,44.365
106,13.735,12.49,44.56
107,13.715,12.29,44.03
108,13.774999999999999,12.25,43.9
109,13.145,12.315000000000001,43.769999999999996
110,12.95,12.559999999999999,43.83
111,12.78,11.98,43.705
112,12.97,12.105,43.879999999999995
113,12.805,12.13,43.79
114,13.370000000000001,12.045,43.785
115,13.36,12.36,43.725
116,13.25,12.465,43.71
117,13.33,12.45,43.69
118,13.385000000000002,12.4,43.605000000000004
119,12.52,12.465,42.614999999999995
120,12.335,12.575,42.695
121,12.52,12.605,42.635000000000005
122,12.465,12.705,42.705
123,12.365,12.67,42.605000000000004
124,12.52,12.780000000000001,42.905
125,12.455,13.26,42.945
126,12.375,13.18,42.885000000000005
127,13.581495999999998,12.854381999999998,45.0012
128,12.63,13.235,42.925
129,12.675,13.085,42.965
130,12.675,13.085,42.965
131,12.675,13.085,42.965
132,12.675,13.085,42.965
133,12.675,13.085,42.965
134,12.675,13.085,42.965
135,12.675,13.085,42.965
136,12.675,13.085,42.965
137,12.675,13.085,42.965
138,12.73,12.46,45.015
139,12.73,12.46,45.015
140,12.73,12.46,45.015
141,12.73,12.46,45.015
142,12.73,12.46,45.015
143,12.73,12.46,45.015
144,12.875,12.475000000000001,45.06
145,12.92,12.545,45.085
146,12.92,12.754999999999999,45.085
147,12.84,12.75,44.805
148,13.350000000000001,12.83,44.9
149,13.305,12.795,44.835
150,13.355,12.69,44.769999999999996
151,13.344999999999999,12.375,44.97
152,13.344999999999999,12.375,44.97
153,13.370000000000001,12.79,44.97
154,13.29,12.675,44.97
155,13.29,12.675,44.97
156,13.625,12.555,45.394999999999996
157,14.31,12.219999999999999,45.465
158,14.31,12.23,45.465
159,14.28,12.145,45.34
160,14.27,12.15,45.115
161,14.215,12.065000000000001,44.955
162,14.27,12.23,44.925
163,14.27,12.23,44.925
164,14.27,12.86,44.925
165,14.27,12.86,44.925
166,14.27,12.86,44.925
167,14.27,12.86,44.925
168,14.27,12.86,44.925
169,14.27,12.86,44.925
170,14.27,12.86,44.925
171,14.27,12.86,44.925
172,14.27,12.86,44.925
173,14.27,12.86,44.925
174,14.27,12.82,44.925
175,14.27,12.82,44.925
176,14.8987755,16.7943745,50.362815000000005
177,14.8987755,16.7943745,50.362815000000005
178,14.8987755,16.7943745,50.362815000000005
179,14.8987755,16.7943745,50.362815000000005
180,14.8987755,16.7943745,50.362815000000005
181,14.8987755,16.7943745,50.362815000000005
182,14.8987755,16.7943745,50.362815000000005
183,14.8987755,16.7943745,50.362815000000005
184,14.8987755,16.7943745,50.362815000000005
185,14.8987755,16.7943745,50.362815000000005
186,14.8987755,16.7943745,50.362815000000005
187,14.8987755,16.7943745,50.362815000000005
188,14.8987755,16.7943745,50.362845
189,14.8987755,16.7943745,50.362845
190,14.8987755,16.7943745,50.362845
191,14.8987755,16.7943745,50.362845
192,14.8987755,16.7943745,50.362845
193,14.8987755,16.7943745,50.362845
194,14.8987755,16.7943745,50.362845
195,14.8987755,16.7943745,50.362845
196,14.8987755,16.7943745,50.362845
197,14.8987755,16.7943745,50.362845
198,14.8987755,16.7943745,50.362845
199,14.8987755,16.7943745,50.362845
200,14.8987755,16.7943745,50.362845
201,14.8987755,16.7943745,50.362845
202,14.8987755,16.7943745,50.362845
203,14.8987755,16.7943745,50.362845
204,14.8987755,16.7943745,50.362845
205,14.8987755,16.7943745,50.362845
206,14.8987755,16.7943745,50.362845
207,14.8987755,16.7943745,50.362845
208,14.8987755,16.7943745,50.362845
209,14.8987755,16.7943745,50.362845
210,14.8987755,16.7943745,50.362845
211,14.8987755,16.7943745,50.362845
212,14.8987755,16.7943745,50.362845
213,14.8987755,16.7943745,50.362845
214,14.8987755,16.7943745,50.362845
215,14.8987755,16.7943745,50.362845
216,14.8987755,16.7943745,50.362845
217,14.8987755,16.7943745,50.362845
218,14.8987755,16.7943745,50.362845
219,14.8987755,16.7943745,50.362845
220,14.8987755,16.7943745,50.362845
221,14.8987755,16.7943745,50.362845
