,helicopter_psi,helicopter_theta
857,1.8066,-0.50263
858,1.8091,-0.50668
859,1.8147,-0.50789
860,1.7994,-0.50466
861,1.8002,-0.50466
862,1.8147,-0.50789
863,1.8269,-0.50789
864,1.8123,-0.51032
865,1.8204,-0.51275
866,1.835,-0.51113
867,1.8155,-0.50749
868,1.8269,-0.51154
869,1.8212,-0.5062800000000001
870,1.8285,-0.51113
871,1.8463,-0.51437
872,1.8317,-0.5099199999999999
873,1.8285,-0.50749
874,1.8415,-0.5058699999999999
875,1.8641,-0.51478
876,1.8358,-0.5083
877,1.8559999999999999,-0.5091100000000001
878,1.8431,-0.50951
879,1.8471,-0.50789
880,1.8585,-0.51073
881,1.8585,-0.51073
882,1.8706,-0.5131600000000001
883,1.8576,-0.50668
884,1.8730000000000002,-0.51154
885,1.8819,-0.51437
886,1.8755,-0.51194
887,1.8795,-0.50749
888,1.8779,-0.5099199999999999
889,1.8795,-0.50951
890,1.8876,-0.51154
891,1.9069999999999998,-0.51356
892,1.9022,-0.5062800000000001
893,1.9054,-0.51235
894,1.9014,-0.51194
895,1.9069999999999998,-0.50951
896,1.9184,-0.51356
897,1.9176,-0.5131600000000001
898,1.903,-0.5070899999999999
899,1.903,-0.5070899999999999
900,1.9257,-0.51235
901,1.9321,-0.51356
902,1.9329,-0.5139699999999999
903,1.9362,-0.51154
904,1.9192,-0.50466
905,1.9297,-0.50344
906,1.9369999999999998,-0.50547
907,1.9491,-0.49938999999999995
908,1.9629,-0.50789
909,1.9409999999999998,-0.5010100000000001
910,1.9329,-0.5022300000000001
911,1.9451,-0.5018199999999999
912,1.9799,-0.5022300000000001
913,1.9912,-0.50061
914,1.9945,-0.5018199999999999
915,1.9993,-0.5018199999999999
916,1.992,-0.49454
917,1.992,-0.49454
918,1.9904,-0.49818
919,2.0107,-0.5018199999999999
920,2.0058,-0.49899
921,2.0147,-0.49899
922,2.0204,-0.48765
923,2.0107,-0.49088999999999994
924,2.0333,-0.49332
925,2.0293,-0.49535
926,2.0269,-0.48806000000000005
927,2.0374,-0.4917
928,2.0349,-0.48685
929,2.0536,-0.48441999999999996
930,2.0487,-0.48685
931,2.043,-0.4832
932,2.0625,-0.48563
933,2.0681,-0.48685
934,2.0981,-0.47996000000000005
935,2.0973,-0.47065
936,2.1069999999999998,-0.47551000000000004
937,2.0981,-0.47268000000000004
938,2.12,-0.47631999999999997
939,2.1272,-0.47794
940,2.1297,-0.47794
941,2.1264,-0.46376999999999996
942,2.1305,-0.46376999999999996
943,2.137,-0.46376999999999996
944,2.137,-0.46376999999999996
945,2.1515,-0.47268000000000004
946,2.1329,-0.4658
947,2.1621,-0.47268000000000004
948,2.1548,-0.46175
949,2.1588,-0.46134
950,2.171,-0.45688999999999996
951,2.1677,-0.46337
952,2.1791,-0.45648999999999995
953,2.1693,-0.45971999999999996
954,2.1839,-0.46256
955,2.1799,-0.45325
956,2.1944,-0.4581
957,2.2009,-0.4581
958,2.226,-0.45365
959,2.2252,-0.45446000000000003
960,2.2082,-0.44556
961,2.2236,-0.44515
962,2.2236,-0.44515
963,2.2357,-0.45446000000000003
964,2.239,-0.45041000000000003
965,2.2446,-0.44718
966,2.2414,-0.44596
967,2.2430000000000003,-0.43786
968,2.2284,-0.43988999999999995
969,2.2317,-0.44028999999999996
970,2.26,-0.44637
971,2.2430000000000003,-0.43583999999999995
972,2.256,-0.4407
973,2.2471,-0.43706000000000006
974,2.26,-0.43786
975,2.2535,-0.43382
976,2.2576,-0.43625
977,2.2616,-0.4326
978,2.2681,-0.43382
979,2.2608,-0.43178999999999995
980,2.2608,-0.43178999999999995
981,2.2762,-0.43301000000000006
982,2.2616,-0.42694
