,traffic_speed_deltas,traffic_absolute_speed
0,-1.8600000000000012,52.81
1,-3.1000000000000014,52.81
2,3.7300000000000004,52.81
3,1.8599999999999994,52.81
4,3.1099999999999994,56.54
5,1.240000000000002,56.54
6,22.990000000000002,56.54
7,-4.969999999999999,56.54
8,-18.020000000000003,56.54
9,-4.349999999999998,56.54
10,-3.1099999999999994,56.54
11,3.1099999999999994,56.54
12,27.959999999999997,56.54
13,-3.730000000000004,56.54
14,8.079999999999998,56.54
15,-4.349999999999994,56.54
16,4.349999999999994,56.54
17,-4.969999999999999,56.54
18,-4.969999999999999,56.54
19,4.969999999999999,55.3
20,2.490000000000002,55.3
21,-30.45,55.3
22,30.45,55.3
23,-28.58,57.78
24,5.6,16.77
25,-3.1099999999999994,16.15
26,-0.620000000000001,57.78
27,1.8600000000000012,12.42
28,-1.8600000000000012,8.69
29,1.2400000000000002,8.69
30,0.6199999999999992,8.69
31,6.209999999999999,8.69
32,-6.209999999999999,8.69
33,32.93,7.45
34,-32.93,10.56
35,32.93,10.56
36,-24.85,10.56
37,24.85,11.18
38,-32.93,9.94
39,-0.620000000000001,8.07
40,0.620000000000001,9.94
41,-1.8600000000000012,9.94
42,-5.59,9.94
43,6.83,16.15
44,3.7300000000000004,16.15
45,8.7,16.15
46,-6.84,11.8
47,13.05,16.77
48,13.670000000000002,13.04
49,14.289999999999996,13.04
50,-14.289999999999996,13.04
51,-0.6199999999999974,11.8
52,3.729999999999997,11.8
53,-9.939999999999998,11.8
54,-7.450000000000003,11.8
55,7.450000000000003,11.8
56,-7.450000000000003,25.47
57,9.32,25.47
58,-1.8699999999999974,23.61
59,1.8699999999999974,22.36
60,21.75,22.36
61,-21.75,31.06
62,21.75,29.82
63,-26.72,29.82
64,-1.870000000000001,38.52
65,1.25,34.79
66,-1.25,52.81
67,-1.25,52.81
68,10.559999999999999,50.95
69,-10.559999999999999,44.11
70,4.969999999999999,50.95
71,-3.1099999999999994,44.73
72,-2.4800000000000004,49.7
73,1.2399999999999984,45.98
74,3.7299999999999986,52.81
75,-3.7299999999999986,52.81
76,0.620000000000001,52.81
77,-1.870000000000001,49.7
78,1.870000000000001,52.81
79,-1.870000000000001,52.81
80,11.809999999999999,52.81
81,14.29,52.81
82,5.590000000000003,52.81
83,-1.25,52.81
84,-1.240000000000002,52.81
85,3.730000000000004,52.81
86,3.1099999999999994,52.81
87,-3.1099999999999994,52.81
88,-1.240000000000002,52.81
89,0.6199999999999974,52.81
90,-6.219999999999999,52.81
91,-8.699999999999996,49.08
92,14.919999999999995,52.81
93,-14.919999999999995,49.08
94,-14.290000000000003,34.79
95,-5.59,49.08
96,-3.7299999999999986,31.68
97,-2.49,8.69
98,1.860000000000003,31.68
99,2.490000000000002,5.59
100,0.620000000000001,8.69
101,-10.570000000000002,2.48
102,14.91,2.48
103,-5.59,1.86
104,-3.1000000000000014,1.86
105,3.1000000000000014,1.86
106,0.6199999999999974,2.48
107,-3.719999999999999,2.48
108,-0.6200000000000045,3.1
109,-1.25,3.1
110,1.25,2.48
111,-1.25,2.48
112,-4.969999999999999,2.48
113,1.870000000000001,2.48
114,-32.31,2.48
115,32.31,18.01
116,-34.790000000000006,13.04
117,1.8699999999999992,16.15
118,-1.8699999999999992,9.32
119,1.8699999999999992,4.97
120,0.620000000000001,4.97
121,-1.2400000000000002,4.97
122,-3.729999999999997,4.34
123,3.729999999999997,4.97
124,-13.669999999999998,3.72
125,-1.2399999999999984,3.72
126,-4.970000000000001,3.72
127,9.939999999999998,3.1
128,-28.59,3.1
129,11.189999999999998,3.1
130,-2.4800000000000004,3.1
131,10.570000000000002,3.1
132,-10.570000000000002,3.1
133,-12.430000000000001,3.1
134,7.459999999999999,3.72
135,5.59,3.1
136,-5.59,3.72
137,5.59,3.72
138,-6.210000000000001,5.59
139,4.97,5.59
140,-4.97,6.83
141,4.97,12.42
142,-4.97,12.42
143,9.950000000000001,22.99
144,-4.349999999999998,37.28
145,4.969999999999999,37.28
146,-0.620000000000001,43.49
147,-1.240000000000002,47.84
148,3.730000000000004,47.84
149,6.829999999999998,47.84
150,-6.829999999999998,47.84
151,6.829999999999998,47.84
152,-14.29,47.84
153,14.29,47.84
154,9.32,47.84
155,-14.300000000000004,47.84
156,-17.389999999999997,47.84
157,9.319999999999999,47.84
158,12.419999999999998,47.84
159,-12.419999999999998,47.84
160,2.4800000000000004,47.84
161,-2.4800000000000004,47.84
162,-4.350000000000001,47.84
163,1.8599999999999994,47.84
164,1.8599999999999994,47.84
165,-1.8699999999999992,41.01
166,0.6199999999999992,41.01
167,3.1099999999999994,41.01
168,-1.25,46.6
169,1.2399999999999984,11.18
170,-1.2399999999999984,8.07
171,-1.240000000000002,46.6
172,-3.1099999999999994,6.21
173,3.1099999999999994,8.07
174,0.620000000000001,8.07
175,3.1099999999999994,6.21
176,-4.979999999999997,6.83
177,4.979999999999997,6.83
178,-1.240000000000002,7.45
179,1.240000000000002,11.18
180,-1.240000000000002,7.45
181,-1.8699999999999974,13.67
182,1.8699999999999974,11.18
183,9.939999999999998,14.91
184,-11.809999999999995,14.91
185,8.699999999999996,14.91
186,3.1099999999999994,14.91
187,-3.1099999999999994,14.91
188,3.1099999999999994,18.64
189,-3.1099999999999994,31.06
190,3.1099999999999994,31.06
191,37.290000000000006,18.64
192,-37.290000000000006,13.04
193,1.2399999999999993,18.64
194,-9.32,10.56
195,22.37,10.56
196,-6.210000000000001,10.56
197,-6.210000000000001,8.07
198,6.210000000000001,8.07
199,-1.860000000000003,9.32
200,3.7299999999999986,9.32
201,-3.7299999999999986,14.29
202,-2.4800000000000004,14.29
203,5.590000000000001,13.04
204,-4.3500000000000005,13.04
205,-1.87,14.29
206,1.87,10.56
207,7.46,10.56
208,15.530000000000001,12.42
209,0.6199999999999974,13.67
210,-0.6199999999999974,12.42
211,6.829999999999998,12.42
212,-22.369999999999997,24.23
213,1.2399999999999984,23.61
214,-1.2399999999999984,23.61
215,-9.940000000000001,23.61
216,9.940000000000001,23.61
217,-9.940000000000001,23.61
218,4.35,23.61
219,-4.35,23.61
220,5.590000000000002,23.61
221,-1.8599999999999994,23.61
222,1.8599999999999994,23.61
223,0.6199999999999992,23.61
224,-1.2399999999999984,23.61
225,1.2399999999999984,23.61
226,2.49,23.61
227,-2.49,23.61
228,2.49,23.61
229,3.0999999999999996,23.61
230,-12.429999999999998,23.61
231,-12.429999999999998,23.61
232,1.25,23.61
233,-1.25,23.61
234,-31.69,23.61
235,3.1000000000000014,23.61
236,18.64,23.61
237,16.779999999999998,23.61
238,-16.779999999999998,23.61
239,-1.2400000000000002,23.61
240,2.4799999999999995,23.61
241,-42.870000000000005,23.61
242,-26.089999999999996,23.61
243,14.909999999999997,23.61
244,-27.959999999999997,23.61
245,27.959999999999997,23.61
246,-9.32,23.61
247,32.31,23.61
248,-26.72,23.61
249,26.72,23.61
250,3.1000000000000014,23.61
251,-3.1000000000000014,23.61
252,4.969999999999999,23.61
253,-4.969999999999999,23.61
254,16.78,23.61
255,-3.7300000000000004,23.61
256,-8.080000000000002,23.61
257,4.350000000000001,23.61
258,6.219999999999999,23.61
259,-6.219999999999999,23.61
260,6.219999999999999,23.61
261,-47.85,23.61
262,-6.210000000000001,23.61
263,14.29,23.61
264,-6.829999999999998,23.61
265,-37.28,23.61
266,-5.589999999999996,23.61
267,-16.78,23.61
268,-0.6199999999999992,23.61
269,-0.6200000000000001,23.61
270,1.87,23.61
271,0.6300000000000008,23.61
272,-3.0999999999999996,23.61
273,4.35,23.61
274,-4.35,23.61
275,21.12,23.61
276,-16.770000000000003,23.61
277,11.18,23.61
278,-11.18,23.61
279,19.88,23.61
280,-19.88,23.61
281,27.34,23.61
282,-7.460000000000001,23.61
283,4.970000000000006,23.61
