,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_walton
0,24.0,102.0,17.0,22.0,182.0,16.0,86.0,14.0,2.0
1,24.0,102.0,16.0,22.0,182.0,16.0,86.0,17.0,0.0
2,48.0,102.0,16.0,22.0,182.0,16.0,86.0,17.0,0.0
3,48.0,102.0,15.0,22.0,182.0,18.0,86.0,17.0,1.0
4,48.0,101.0,15.0,21.0,182.0,18.0,94.0,17.0,1.0
5,48.0,101.0,19.0,21.0,182.0,18.0,94.0,17.0,1.0
6,48.0,101.0,19.0,21.0,160.0,18.0,94.0,16.0,1.0
7,48.0,101.0,18.0,21.0,160.0,18.0,92.0,16.0,0.0
8,48.0,101.0,18.0,21.0,160.0,18.0,92.0,16.0,0.0
9,48.0,101.0,15.0,20.0,160.0,20.0,92.0,16.0,3.0
10,48.0,120.0,15.0,20.0,160.0,20.0,92.0,16.0,3.0
11,32.0,120.0,12.0,20.0,160.0,20.0,92.0,16.0,3.0
12,32.0,120.0,12.0,20.0,162.0,20.0,108.0,15.0,3.0
13,32.0,120.0,16.0,20.0,162.0,20.0,108.0,15.0,0.0
14,32.0,120.0,16.0,20.0,162.0,20.0,108.0,15.0,0.0
15,32.0,201.0,13.0,26.0,162.0,21.0,108.0,15.0,1.0
16,32.0,201.0,13.0,26.0,162.0,21.0,108.0,15.0,1.0
17,23.0,201.0,12.0,26.0,162.0,21.0,108.0,15.0,2.0
18,23.0,201.0,12.0,26.0,185.0,21.0,197.0,15.0,2.0
19,23.0,201.0,9.0,26.0,185.0,21.0,197.0,15.0,1.0
20,23.0,207.0,9.0,26.0,185.0,30.0,197.0,15.0,1.0
21,23.0,207.0,11.0,34.0,231.0,30.0,197.0,15.0,1.0
22,14.0,207.0,11.0,34.0,231.0,30.0,197.0,11.0,1.0
23,14.0,207.0,18.0,34.0,231.0,30.0,197.0,11.0,3.0
24,14.0,207.0,18.0,34.0,231.0,30.0,150.0,11.0,3.0
25,14.0,220.0,18.0,34.0,231.0,33.0,150.0,11.0,5.0
26,14.0,220.0,18.0,19.0,175.0,33.0,150.0,11.0,5.0
27,27.0,220.0,12.0,19.0,175.0,33.0,150.0,11.0,5.0
28,27.0,220.0,12.0,19.0,175.0,33.0,150.0,10.0,5.0
29,27.0,220.0,9.0,19.0,175.0,33.0,150.0,10.0,12.0
