,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-centrl,electricity-load-nyiso-genese,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil
42,1166.7544,567.5252,631.7438,26882.950100000002,2350.8271,1968.4292,9071.244,2418.878,1605.2197,1154.1399,1768.9344,4179.2544
43,1166.8933,577.952,635.7664,26892.1727,2345.3438,1957.4526,9052.814,2432.1738,1615.9381,1147.3296,1779.4315,4181.0776
44,1169.2854,580.0551,647.8395,27025.7205,2354.5186,1991.4768,9081.049,2420.5483,1638.175,1147.0216,1841.9319,4153.8193
45,1175.77,577.1309,637.384,27126.720500000003,2352.1455,2010.9869,9123.756,2447.2908,1634.6836,1137.0476,1856.1658,4174.3594
46,1175.77,577.1309,637.384,27126.720500000003,2352.1455,2010.9869,9123.756,2447.2908,1634.6836,1137.0476,1856.1658,4174.3594
47,1175.77,577.1309,637.384,27126.720500000003,2352.1455,2010.9869,9123.756,2447.2908,1634.6836,1137.0476,1856.1658,4174.3594
48,1175.77,577.1309,637.384,27126.720500000003,2352.1455,2010.9869,9123.756,2447.2908,1634.6836,1137.0476,1856.1658,4174.3594
49,1196.381,585.8848,634.6005,27181.541500000003,2324.471,2062.9375,9151.133,2343.644,1673.3488,1141.5042,1847.2317,4220.405
50,1211.9558,574.4662,643.2616,27265.247400000004,2352.1401,2066.242,9188.795,2317.0376,1670.6741,1137.3884,1870.102,4233.1846
51,1195.5127,589.9539,637.1313,27262.043400000002,2318.1455,2067.5708,9210.254,2316.6987,1684.6205,1153.72,1859.446,4228.99
52,1204.4253,584.3735,645.9376,27328.084800000004,2318.4224,2079.52,9198.018,2356.0342,1692.6814,1139.692,1878.4724,4230.508
53,1223.658,582.4982,654.5497,27448.244,2287.9827,2084.7852,9225.9795,2348.0461,1699.632,1160.0768,1889.3938,4291.642
54,1219.0759,586.3685,653.6072,27515.8441,2305.582,2080.0122,9264.446,2367.3179,1716.9224,1151.9155,1874.4835,4296.113
55,1212.5698,580.6637,653.2424,27550.1177,2315.398,2065.9844,9267.763,2382.081,1727.9683,1137.4517,1894.3684,4312.627
56,1217.99,576.5305,646.8939,27607.3957,2326.6208,2053.146,9298.694,2376.6492,1719.4271,1150.2213,1907.9192,4333.3037
57,1223.9688,580.5008,647.3511,27627.118,2307.3345,2038.6736,9332.902,2369.0806,1735.0957,1136.8423,1884.8406,4370.528
58,1223.8417,600.528,649.6699,27731.9205,2305.463,2051.4387,9327.274,2385.87,1731.5549,1147.534,1913.4653,4395.281
59,1238.595,603.6992,650.0219,27794.8726,2322.8298,2034.7683,9341.623,2401.8618,1734.6309,1140.1956,1947.5465,4379.1006
60,1238.595,603.6992,650.0219,27794.8726,2322.8298,2034.7683,9341.623,2401.8618,1734.6309,1140.1956,1947.5465,4379.1006
61,1238.595,603.6992,650.0219,27794.8726,2322.8298,2034.7683,9341.623,2401.8618,1734.6309,1140.1956,1947.5465,4379.1006
62,1249.9026,604.0712,653.2921,27885.820499999994,2326.1846,2025.0385,9394.14,2349.5083,1741.8198,1135.2362,1979.6682,4426.959
63,1247.0784,601.585,651.181,27957.552600000003,2302.2217,2015.5798,9408.948,2399.1567,1752.6519,1140.3359,1993.5056,4445.3086
64,1246.2692,609.5157,654.9794,27898.3355,2291.563,2012.2561,9381.974,2366.1606,1750.9729,1137.789,1992.3876,4454.468
65,1244.8945,617.2509,658.3417,27951.3716,2323.981,1988.5486,9395.961,2382.2898,1748.2002,1135.1642,1982.2622,4474.4775
66,1256.6025,603.2985,652.9191,27986.5966,2332.534,1981.5662,9428.04,2355.4014,1748.7886,1145.7058,1997.8391,4483.9014
67,1260.4153,612.7562,659.7783,28028.2831,2318.26,1972.8083,9453.995,2370.4136,1757.8613,1133.2983,2012.1858,4476.511
68,1237.0804,620.3747,655.4338,28032.8202,2326.4253,1977.1743,9479.991,2387.039,1745.9377,1143.0349,1979.3574,4480.9717
69,1260.05,605.1294,655.9905,28095.480699999996,2364.9783,1971.0562,9463.783,2386.8857,1743.1144,1145.9814,2006.6353,4491.8765
70,1246.5435,621.6334,654.956,28092.7782,2354.9277,1969.5015,9484.847,2357.9932,1743.8478,1139.1984,2005.9187,4513.411
71,1257.5265,610.2253,647.0826,28075.275199999996,2369.456,1954.6396,9497.479,2372.0586,1743.3676,1140.0684,1978.3872,4504.9844
72,1266.2201,623.8723,661.7214,28137.849099999996,2379.314,1972.4404,9517.834,2357.7896,1752.4675,1129.5048,1945.195,4531.49
73,1284.7501,617.4899,670.7924,28157.0134,2378.5073,1952.3274,9490.875,2388.1357,1752.271,1144.3313,1922.1643,4555.369
74,1255.6483,604.5468,669.612,28181.960900000005,2341.3225,1967.6559,9569.43,2398.6562,1760.335,1134.0388,1925.023,4555.6924
75,1265.3765,613.8922,644.187,28126.375900000003,2373.684,1939.373,9529.071,2416.9111,1755.1855,1150.1333,1898.7977,4539.7646
76,1261.466,591.6002,626.7913,28052.6248,2351.0732,1947.3699,9531.683,2387.5317,1760.9434,1132.1349,1900.5022,4561.529
77,1257.5767,574.4314,654.9468,28143.4752,2350.3857,1931.0114,9579.445,2410.9734,1758.095,1122.2148,1933.0386,4571.3564
78,1262.359,581.1909,639.8857,28146.4506,2339.6257,1924.3743,9570.392,2461.249,1753.842,1131.9932,1914.1482,4567.3906
79,1262.4464,571.7393,634.1382,28165.128499999995,2365.046,1910.5864,9560.086,2439.4912,1760.2014,1111.0045,1953.2021,4597.187
80,1271.2009,569.1127,632.6828,28099.340699999997,2334.5835,1907.2502,9563.139,2451.1309,1772.0061,1112.3083,1892.7207,4593.2056
81,1259.716,583.5908,629.2145,27990.433399999998,2327.6782,1897.805,9538.578,2414.0205,1773.5103,1116.1602,1860.7799,4589.38
82,1279.2234,587.6295,651.4154,28113.5669,2346.2183,1877.9751,9539.064,2446.8062,1775.1235,1115.1359,1906.4512,4588.5244
83,1268.9008,571.0215,638.3978,28030.3361,2328.5317,1882.7085,9559.793,2426.3286,1768.3456,1120.9039,1864.7201,4600.6846
84,1273.7113,581.2093,635.8005,27970.205,2312.3733,1872.7185,9535.185,2455.0396,1773.884,1114.818,1834.5251,4580.9404
85,1264.7448,579.3427,628.7786,28006.7329,2344.269,1880.4844,9537.701,2470.0234,1774.0192,1120.0444,1805.6494,4601.676
86,1269.3772,586.7024,635.6654,27984.3436,2339.6443,1882.456,9514.844,2451.774,1781.8184,1117.7523,1783.6746,4620.635
87,1261.4382,567.6548,637.3656,28068.1443,2338.5146,1889.7158,9529.572,2463.463,1782.8701,1132.7983,1826.9404,4637.8115
88,1261.1788,572.5527,634.2215,28031.702100000002,2320.4,1895.4496,9545.689,2472.9724,1788.0786,1145.852,1773.83,4621.4775
89,1255.5317,575.6232,642.3749,27995.9561,2346.4436,1893.9956,9492.984,2454.9268,1786.348,1131.8365,1785.3313,4630.5605
90,1253.4263,547.1345,635.3738,27877.8263,2329.9502,1908.2487,9442.673,2411.5684,1794.656,1134.5894,1769.5956,4650.6104
91,1258.4976,541.3538,644.3977,27899.9497,2330.0635,1896.4249,9488.076,2398.2168,1797.4404,1141.0848,1752.2467,4652.1475
92,1248.1699,542.6312,634.231,27849.404399999996,2321.1504,1908.2458,9452.8545,2400.1045,1802.6792,1134.7285,1753.2798,4651.3296
93,1252.7958,533.2546,642.0647,27851.553999999996,2332.339,1905.887,9490.496,2406.0127,1802.3717,1134.5403,1725.2092,4626.583
94,1252.6445,520.1402,656.7379,27685.5049,2308.2717,1899.3486,9418.676,2406.4429,1806.6509,1126.6309,1697.4523,4592.509
95,1233.7513,518.9661,644.3683,27531.912699999997,2315.498,1888.3278,9322.645,2423.9023,1795.5422,1126.5593,1695.3884,4566.964
96,1228.8184,511.7068,649.8557,27534.347,2320.4768,1895.4644,9293.411,2432.0972,1797.3566,1122.2551,1710.4763,4572.4287
97,1211.0331,506.8759,657.5714,27445.517200000002,2302.9297,1910.4427,9272.464,2425.8164,1803.0256,1121.5033,1662.2871,4571.568
98,1185.2335,515.9592,658.0256,27371.3899,2314.9155,1900.363,9242.997,2444.2388,1800.1641,1122.9834,1645.3378,4541.172
99,1171.13,495.7758,651.0618,27198.0026,2306.3345,1904.7266,9204.822,2396.188,1794.316,1124.0583,1629.5046,4520.085
100,1158.2864,496.963,658.7367,27046.3202,2314.7021,1912.9893,8975.212,2453.9673,1796.566,1118.2968,1651.1309,4509.4697
101,1109.2694,495.5165,661.2695,26754.810299999997,2301.9563,1897.6056,8845.866,2446.2798,1797.4972,1106.1741,1619.1816,4474.1943
102,1083.4741,497.6921,661.6661,26371.1941,2301.2324,1909.8762,8566.178,2420.5483,1791.6102,1094.016,1582.6722,4462.2285
103,1091.7451,487.5597,657.6541,26220.7888,2285.5073,1905.2778,8401.318,2436.8767,1787.8079,1096.9646,1648.062,4422.0156
104,1063.9432,486.9352,652.8447,25940.6667,2246.1863,1912.8612,8285.537,2390.9385,1789.6409,1101.524,1634.2117,4376.044
105,1072.5442,479.0878,653.7451,25646.5018,2230.9082,1923.1014,8181.993,2355.086,1785.3445,1111.4414,1564.3127,4288.9375
106,1062.1854,499.5456,649.0695,25613.717500000002,2251.1184,1921.061,8157.296,2371.8667,1785.8759,1103.7572,1615.8363,4196.1055
107,1055.1655,485.6619,663.1315,25408.8557,2260.717,1928.8025,8066.965,2370.832,1778.8208,1104.7764,1561.4231,4132.56
108,1057.9365,493.0268,663.5393,25361.103499999997,2245.6929,1917.2596,8070.551,2361.0781,1778.1086,1107.2183,1569.3921,4097.3003
109,1050.7216,478.9284,654.5092,25278.2293,2241.9941,1918.6005,8049.799,2353.293,1772.3085,1132.2231,1553.6837,4072.1682
110,1043.8195,491.2322,658.8754,25185.8555,2259.4102,1915.4197,7978.3994,2375.946,1755.676,1114.7368,1533.8318,4058.5085
111,1048.6978,485.6848,661.642,25180.0415,2265.335,1913.2944,8013.409,2365.122,1752.0801,1118.644,1533.5023,4022.6301
112,1048.6978,485.6848,661.642,25180.0415,2265.335,1913.2944,8013.409,2365.122,1752.0801,1118.644,1533.5023,4022.6301
113,1029.9867,480.5284,652.8234,25036.485399999998,2249.4292,1909.5426,7971.702,2399.5786,1740.6208,1119.6163,1507.0112,3975.6462
114,1015.9096,475.0014,639.4149,24891.3208,2240.0957,1921.6788,7921.154,2381.4082,1739.0886,1108.0856,1509.4186,3940.0654
115,1019.0525,471.941,641.452,24886.2305,2227.2998,1918.5983,7925.87,2381.8433,1740.7599,1118.0378,1495.9064,3945.4695
116,1016.3044,463.6963,659.0471,24884.352,2271.0195,1901.9221,7920.8135,2386.5078,1728.2993,1099.6323,1508.8177,3928.292
