,btc_usd,btc_aud,btc_eur
339,-3.397206788757103,-4.144251899759183,-3.752633132806295
340,-20.73439511653305,-20.313225079577023,-20.719208373117
341,10.74417353834724,11.059862778813113,10.871532073470007
342,16.305696293162327,15.727073987498443,16.12749691396857
343,17.878064065862418,18.12055992410933,18.049787330790423
344,5.60609416420084,6.169719126333803,5.349495472333729
345,0.062113730260534794,-0.31085624785009713,-0.10066945194193977
346,-6.814053289052026,-6.912829347935258,-6.818724805838428
347,0.3751485006778239,0.477716196250185,0.8612174092922942
348,1.7280330752491864,2.4673094184599904,1.8718544407711306
349,0.0,-0.016428589031420415,-0.025271989792599925
350,1.0811036625473207,0.9852379325366201,1.0861192515167204
351,20.70876106889955,20.967239620153123,20.637834286051657
352,-4.038102279148006,-4.1067819526542735,-3.890043186427647
353,-5.656216407771353,-5.599444977240637,-5.85110038822495
354,-11.617221419364796,-11.868461342588489,-11.67958822970104
355,2.8505199160663324,2.5195276618851494,3.0498072281152417
356,-2.190348460475434,-2.3849924807309435,-2.3770164147972537
357,4.672607953536499,4.797781426452275,4.542412187702212
358,10.287419183045131,10.769526917549229,10.604335943873593
359,7.313640089103501,7.685494833916891,7.58935047032719
360,2.142152329586679,2.2318873628446454,2.1218023065575835
361,-4.789779872993677,-5.308888811536235,-5.059331325130188
362,-17.96688844657183,-17.69016006115453,-17.679650989039146
363,-5.819112861945541,-6.208848597218093,-6.032615030215311
364,2.3700994365299266,2.360201375486213,2.3604187082837598
365,-7.793303836917403,-8.115418100622264,-8.142287091832259
366,-17.41022002653517,-17.484369955633156,-17.0971354205667
367,-11.460372014518725,-11.851733130501088,-11.732926278704326
368,15.345906579239454,15.128671610751553,15.313499547250103
369,2.0458361326291197,1.9266502897753526,1.904409811957521
370,2.0810336228514643,1.678838638252273,1.8068717649148311
371,-4.912238349490508,-4.80899500907617,-4.782409880213891
372,9.948220215661422,9.995555071429408,10.003950905849706
373,1.0336790397977893,0.9840796731077717,1.153801904853026
374,-13.58601180736332,-13.66320330495364,-13.752393741175183
375,-9.858644879486747,-9.62876687678181,-9.764070889053983
376,23.80303051674673,23.825303527710275,24.028838469384937
377,18.21232018070259,18.375191987224753,18.272765037179852
378,14.404111987611032,14.486652046582094,14.654197206420577
379,6.993319820812758,6.63696140817774,6.964366783700825
380,-3.632862080581617,-3.3210096221264394,-3.179809672412375
381,3.209167152785085,3.368410730116011,3.082730532372807
382,-1.115946996738785,-1.5544750367789675,-1.3059174692862143
383,-8.256001884605212,-8.245344317187119,-8.16977782023605
384,-1.843960529040487,-1.8451682881077431,-1.841208750849546
385,5.440131217741509,5.638095403171974,5.463951602851012
386,-12.850164506266083,-12.87348755718267,-12.862875523076582
387,-1.4058593561949237,-1.3880159319141967,-1.4311003082693787
388,5.261812501243185,5.199219606996849,4.962416198541177
389,6.339197956160206,6.319904360523651,6.081621895036733
390,-2.723597649432122,-2.8309154668495466,-2.587645443787551
391,2.375881832018422,2.1683909009298077,2.388833345414241
392,4.714534983755584,4.9180559167252795,4.83482005458427
393,-3.9578964674783492,-4.158613343362958,-4.139150568900732
394,-3.2555644597650826,-3.5598167072603246,-3.2339945595012978
395,-1.2518086162526743,-1.6710068051652343,-1.5460578611982783
396,-1.1300248780644324,-1.0884664259301644,-0.9987267065716878
397,-9.356189488622476,-8.422751914444234,-8.958092650589606
398,-13.979519919310405,-13.133985225651486,-13.576648974545606
399,-14.092351167124434,-13.40977825839218,-14.100323668511919
400,-10.555546291507198,-9.69214545745308,-10.105042102553853
401,10.68358726479164,9.557472124253763,10.33822991047964
402,7.694961870593033,7.864747456846089,7.536297476624895
403,-12.786733846232892,-12.346744362257596,-12.769125840932247
404,3.263934375858298,3.4003301676129922,3.283245783057282
405,12.56088042769261,11.640739890081022,12.12986653241569
406,2.2725188664080633,1.7166830134556221,1.8168021821456932
407,-8.399182767385355,-8.515115313193746,-8.540230701202745
408,10.707355332187944,10.826358190075553,10.676346764328628
409,-7.657566643567407,-7.202215956420332,-7.50309957000718
410,-3.4199969849705667,-3.2555644597669016,-3.5357722152475617
411,-17.26321929579717,-16.74950416218053,-16.82768024881625
412,-1.253630468605479,-1.2896827184431459,-1.193969327274317
413,3.5062125035856297,3.5343896210015373,3.5776397851950605
414,-4.175458581059502,-3.43512418514365,-3.9844228991350974
415,-3.3529652737543074,-3.032037514345575,-3.056159261455832
416,-10.275327507386464,-9.888770289542663,-10.152111189046991
417,4.042547438764814,3.6300109282219637,4.1399408567776845
418,2.7842832642454596,3.3007181516532,3.3559227612277027
419,0.8421939649269916,1.0978227619998506,0.5624872310309001
420,-11.451193509445147,-11.621329865405642,-11.387858757781942
421,5.286804886962273,5.183575180764819,5.157309007145159
422,8.791682446304549,7.932846080637319,8.579347072391101
