,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel
102,264.0,4400.0,12.0,3931.0,3382.0,5157.0
103,263.0,4399.0,11.0,3841.0,3314.0,5257.0
104,262.0,4399.0,11.0,3868.0,3319.0,5298.0
105,265.0,4399.0,11.0,3856.0,3319.0,5327.0
106,265.0,4400.0,10.0,3825.0,3319.0,5309.0
107,265.0,4400.0,10.0,3825.0,3319.0,5309.0
108,261.0,4400.0,12.0,3835.0,3321.0,5321.0
109,258.0,4400.0,14.0,3839.0,3319.0,5315.0
110,254.0,4399.0,15.0,3787.0,3288.0,5297.0
111,259.0,4400.0,16.0,3779.0,3262.0,5275.0
112,259.0,4400.0,15.0,3784.0,3251.0,5259.0
113,259.0,4400.0,15.0,3784.0,3251.0,5259.0
114,256.0,4401.0,14.0,3745.0,3275.0,5163.0
115,257.0,4400.0,14.0,3639.0,3301.0,5170.0
116,257.0,4399.0,14.0,3609.0,3317.0,5122.0
117,263.0,4400.0,15.0,3638.0,3309.0,5051.0
118,263.0,4400.0,15.0,3638.0,3309.0,5051.0
119,257.0,4401.0,20.0,3619.0,3298.0,5021.0
120,257.0,4401.0,20.0,3619.0,3298.0,5021.0
121,259.0,4399.0,18.0,3655.0,3282.0,4941.0
122,259.0,4398.0,19.0,3673.0,3271.0,4882.0
123,261.0,4398.0,21.0,3674.0,3264.0,4837.0
124,263.0,4399.0,21.0,3679.0,3270.0,4821.0
125,261.0,4399.0,20.0,3657.0,3278.0,4795.0
126,261.0,4399.0,20.0,3657.0,3278.0,4795.0
127,267.0,4400.0,24.0,3645.0,3299.0,4635.0
128,267.0,4400.0,24.0,3645.0,3299.0,4635.0
129,263.0,4400.0,25.0,3682.0,3344.0,4547.0
130,260.0,4399.0,24.0,3686.0,3349.0,4515.0
131,260.0,4400.0,22.0,3703.0,3357.0,4452.0
132,262.0,4400.0,23.0,3679.0,3360.0,4402.0
133,262.0,4400.0,23.0,3679.0,3360.0,4402.0
134,260.0,4399.0,26.0,3676.0,3370.0,4234.0
135,260.0,4399.0,29.0,3696.0,3376.0,4190.0
136,252.0,4399.0,31.0,3669.0,3358.0,4172.0
137,252.0,4399.0,31.0,3669.0,3358.0,4172.0
138,260.0,4401.0,39.0,3613.0,3342.0,4096.0
139,262.0,4400.0,45.0,3688.0,3333.0,4074.0
140,258.0,4399.0,50.0,3676.0,3340.0,4094.0
141,261.0,4400.0,52.0,3673.0,3292.0,4117.0
142,262.0,4400.0,54.0,3691.0,3184.0,4123.0
143,259.0,4400.0,58.0,3689.0,3149.0,4097.0
144,260.0,4400.0,60.0,3650.0,3143.0,4048.0
145,263.0,4400.0,61.0,3636.0,3135.0,3997.0
146,263.0,4400.0,61.0,3636.0,3135.0,3997.0
147,261.0,4399.0,65.0,3608.0,3127.0,3883.0
148,259.0,4400.0,68.0,3616.0,3134.0,3777.0
149,259.0,4400.0,68.0,3616.0,3134.0,3777.0
150,264.0,4399.0,73.0,3518.0,3099.0,3715.0
151,264.0,4400.0,75.0,3397.0,3084.0,3721.0
152,262.0,4400.0,72.0,3324.0,3056.0,3730.0
153,264.0,4399.0,73.0,3309.0,3028.0,3700.0
154,259.0,4399.0,76.0,3229.0,3027.0,3664.0
155,260.0,4400.0,84.0,3203.0,3048.0,3602.0
156,260.0,4400.0,84.0,3203.0,3048.0,3602.0
157,264.0,4401.0,94.0,3193.0,3090.0,3528.0
158,266.0,4401.0,102.0,3180.0,2974.0,3418.0
159,266.0,4401.0,102.0,3180.0,2974.0,3418.0
160,266.0,4402.0,109.0,3132.0,2836.0,3365.0
161,266.0,4402.0,109.0,3132.0,2836.0,3365.0
162,265.0,4402.0,122.0,3064.0,2777.0,3378.0
163,267.0,4401.0,128.0,2938.0,2652.0,3422.0
164,263.0,4402.0,136.0,2910.0,2591.0,3399.0
165,263.0,4402.0,136.0,2910.0,2591.0,3399.0
166,265.0,4402.0,146.0,2812.0,2597.0,3391.0
167,265.0,4402.0,146.0,2812.0,2597.0,3391.0
168,263.0,4402.0,156.0,2751.0,2501.0,3352.0
169,262.0,4402.0,160.0,2794.0,2512.0,3360.0
170,262.0,4402.0,160.0,2794.0,2512.0,3360.0
171,263.0,4403.0,164.0,2787.0,2496.0,3361.0
172,253.0,4402.0,173.0,2788.0,2408.0,3354.0
173,256.0,4403.0,200.0,2886.0,1994.0,3563.0
174,258.0,4402.0,206.0,2960.0,1861.0,3580.0
175,258.0,4401.0,214.0,2974.0,1830.0,3583.0
176,256.0,4401.0,218.0,2936.0,1815.0,3569.0
177,256.0,4402.0,226.0,2895.0,1795.0,3577.0
178,253.0,4400.0,229.0,2882.0,1799.0,3576.0
179,253.0,4400.0,229.0,2882.0,1799.0,3576.0
180,252.0,4402.0,231.0,2831.0,1799.0,3539.0
181,252.0,4402.0,231.0,2831.0,1799.0,3539.0
182,256.0,4401.0,241.0,2899.0,1797.0,3411.0
183,255.0,4400.0,244.0,2887.0,1789.0,3429.0
184,255.0,4401.0,245.0,2881.0,1786.0,3367.0
185,255.0,4401.0,245.0,2881.0,1786.0,3367.0
186,250.0,4401.0,238.0,2894.0,1786.0,3344.0
187,248.0,4401.0,233.0,2896.0,1785.0,3314.0
188,239.0,4401.0,226.0,2890.0,1784.0,3260.0
189,239.0,4401.0,226.0,2890.0,1784.0,3260.0
190,243.0,4400.0,222.0,2906.0,1784.0,3226.0
191,242.0,4400.0,229.0,2892.0,1783.0,3224.0
192,242.0,4400.0,229.0,2892.0,1783.0,3224.0
193,244.0,4399.0,225.0,2845.0,1784.0,3225.0
194,244.0,4400.0,227.0,2811.0,1785.0,3224.0
195,248.0,4400.0,233.0,2804.0,1786.0,3226.0
196,248.0,4400.0,233.0,2804.0,1786.0,3226.0
197,245.0,4397.0,241.0,2802.0,1785.0,3223.0
198,248.0,4400.0,271.0,2797.0,1785.0,3174.0
199,250.0,4399.0,284.0,2793.0,1786.0,3138.0
200,248.0,4399.0,300.0,2796.0,1780.0,3109.0
201,246.0,4401.0,311.0,2790.0,1768.0,3095.0
202,246.0,4401.0,318.0,2797.0,1731.0,3093.0
203,250.0,4400.0,323.0,2792.0,1701.0,3091.0
204,251.0,4398.0,334.0,2821.0,1617.0,3105.0
205,248.0,4399.0,336.0,2815.0,1625.0,3099.0
206,250.0,4401.0,336.0,2810.0,1681.0,3103.0
207,250.0,4401.0,340.0,2809.0,1665.0,3128.0
208,248.0,4400.0,345.0,2818.0,1648.0,3162.0
209,248.0,4400.0,345.0,2818.0,1648.0,3162.0
210,249.0,4402.0,344.0,2815.0,1666.0,3164.0
211,249.0,4402.0,344.0,2815.0,1666.0,3164.0
212,258.0,4401.0,351.0,2818.0,1612.0,3097.0
