,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
315,57.0,28.0
316,61.0,22.0
317,61.0,19.0
318,60.0,29.0
319,68.0,26.0
320,63.0,21.0
321,60.0,31.0
322,68.0,26.0
323,66.0,35.0
324,42.0,31.0
325,54.0,17.0
326,53.0,27.0
327,52.0,31.0
328,72.0,20.0
329,44.0,27.0
330,59.0,35.0
331,53.0,30.0
332,63.0,31.0
333,62.0,29.0
334,50.0,34.0
335,53.0,32.0
336,52.0,25.0
337,61.0,25.0
338,68.0,26.0
339,67.0,21.0
340,41.0,28.0
341,47.0,28.0
342,57.0,31.0
343,69.0,37.0
344,55.0,20.0
345,50.0,29.0
346,52.0,27.0
347,48.0,25.0
348,66.0,26.0
349,57.0,26.0
350,53.0,29.0
351,59.0,34.0
352,66.0,23.0
353,52.0,20.0
354,67.0,24.0
355,59.0,25.0
356,52.0,27.0
357,59.0,30.0
358,73.0,20.0
359,59.0,26.0
360,59.0,32.0
361,76.0,13.0
362,58.0,33.0
363,55.0,34.0
364,69.0,37.0
365,59.0,31.0
366,73.0,19.0
367,51.0,25.0
368,43.0,22.0
369,71.0,22.0
370,53.0,31.0
371,61.0,28.0
372,65.0,31.0
373,57.0,30.0
374,58.0,27.0
375,56.0,30.0
376,58.0,25.0
377,59.0,32.0
378,50.0,21.0
379,79.0,29.0
380,55.0,19.0
381,48.0,34.0
382,64.0,25.0
383,57.0,18.0
384,53.0,35.0
385,51.0,34.0
386,60.0,36.0
387,62.0,35.0
388,55.0,31.0
389,53.0,25.0
390,64.0,34.0
391,51.0,29.0
392,63.0,35.0
393,60.0,29.0
394,58.0,33.0
395,56.0,33.0
396,63.0,21.0
397,53.0,29.0
398,52.0,18.0
399,55.0,25.0
400,36.0,36.0
401,67.0,20.0
402,59.0,24.0
403,60.0,26.0
404,60.0,22.0
405,62.0,27.0
406,44.0,25.0
407,53.0,32.0
408,62.0,20.0
409,54.0,32.0
410,67.0,25.0
411,42.0,25.0
412,67.0,16.0
413,58.0,21.0
414,58.0,25.0
415,54.0,22.0
416,61.0,23.0
417,60.0,27.0
418,48.0,33.0
419,61.0,23.0
420,61.0,14.0
421,46.0,20.0
422,47.0,26.0
423,51.0,34.0
424,54.0,24.0
425,52.0,16.0
426,64.0,15.0
427,54.0,25.0
428,55.0,28.0
429,55.0,38.0
430,62.0,24.0
431,60.0,25.0
432,54.0,29.0
433,61.0,35.0
434,54.0,19.0
435,55.0,24.0
436,55.0,21.0
437,47.0,23.0
438,48.0,17.0
439,53.0,22.0
440,60.0,35.0
441,45.0,18.0
442,53.0,26.0
443,56.0,16.0
444,45.0,22.0
