,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
223,475.0,151.0,9.0
224,475.0,151.0,9.0
225,278.0,150.0,13.0
226,278.0,150.0,13.0
227,189.0,120.0,11.0
228,189.0,120.0,11.0
229,202.0,112.0,11.0
230,202.0,112.0,11.0
231,239.0,128.0,12.0
232,239.0,128.0,12.0
233,202.0,157.0,5.0
234,202.0,157.0,5.0
235,187.0,178.0,4.0
236,187.0,178.0,4.0
237,243.0,168.0,2.0
238,243.0,168.0,2.0
239,234.0,172.0,2.0
240,234.0,172.0,2.0
241,240.0,203.0,1.0
242,240.0,203.0,1.0
243,230.0,237.0,11.0
244,230.0,237.0,11.0
245,251.0,246.0,11.0
246,251.0,246.0,11.0
247,238.0,222.0,13.0
248,238.0,222.0,13.0
249,176.0,234.0,13.0
250,176.0,234.0,13.0
251,210.0,272.0,1.0
252,210.0,272.0,1.0
253,248.0,262.0,13.0
254,248.0,262.0,13.0
255,275.0,274.0,13.0
256,275.0,274.0,13.0
257,317.0,237.0,0.0
258,317.0,237.0,0.0
259,317.0,228.0,0.0
260,317.0,228.0,0.0
261,357.0,219.0,0.0
262,357.0,219.0,0.0
263,424.0,235.0,0.0
264,424.0,235.0,0.0
265,460.0,235.0,0.0
266,460.0,235.0,0.0
267,125.0,40.0,0.0
268,125.0,40.0,0.0
269,59.0,40.0,7.0
270,59.0,40.0,7.0
271,55.0,0.0,31.0
272,55.0,0.0,31.0
273,51.0,12.0,25.0
274,51.0,12.0,25.0
275,53.0,13.0,8.0
276,53.0,13.0,8.0
277,57.0,15.0,3.0
278,57.0,15.0,3.0
279,17.0,17.0,0.0
280,17.0,17.0,0.0
281,23.0,16.0,0.0
282,23.0,16.0,0.0
283,27.0,14.0,0.0
284,27.0,14.0,0.0
285,27.0,12.0,9.0
286,27.0,12.0,9.0
287,24.0,15.0,9.0
288,24.0,15.0,9.0
289,19.0,24.0,0.0
290,19.0,24.0,0.0
291,28.0,27.0,3.0
292,28.0,27.0,3.0
293,32.0,24.0,7.0
294,32.0,24.0,7.0
295,36.0,18.0,7.0
296,36.0,18.0,7.0
297,43.0,19.0,0.0
298,43.0,19.0,0.0
299,40.0,20.0,4.0
300,40.0,20.0,4.0
301,29.0,25.0,12.0
302,29.0,25.0,12.0
303,41.0,21.0,9.0
304,41.0,21.0,9.0
305,67.0,21.0,4.0
306,67.0,21.0,4.0
307,47.0,27.0,2.0
308,47.0,27.0,2.0
309,26.0,36.0,3.0
310,26.0,36.0,3.0
311,29.0,38.0,4.0
312,29.0,38.0,4.0
313,35.0,33.0,1.0
314,35.0,33.0,1.0
315,58.0,30.0,2.0
316,58.0,30.0,2.0
317,75.0,21.0,1.0
318,75.0,21.0,1.0
319,55.0,31.0,4.0
320,55.0,31.0,4.0
321,63.0,36.0,12.0
322,63.0,36.0,12.0
323,79.0,31.0,13.0
324,79.0,31.0,13.0
325,74.0,19.0,11.0
326,74.0,19.0,11.0
327,30.0,13.0,8.0
328,30.0,13.0,8.0
329,15.0,18.0,9.0
330,15.0,18.0,9.0
331,23.0,11.0,12.0
332,23.0,11.0,12.0
333,32.0,6.0,12.0
334,32.0,6.0,12.0
335,31.0,8.0,2.0
336,31.0,8.0,2.0
337,22.0,8.0,3.0
338,22.0,8.0,3.0
339,22.0,3.0,4.0
340,22.0,3.0,4.0
341,24.0,2.0,4.0
342,24.0,2.0,4.0
343,20.0,2.0,17.0
344,20.0,2.0,17.0
345,12.0,1.0,17.0
346,12.0,1.0,17.0
347,27.0,1.0,18.0
348,27.0,1.0,18.0
349,26.0,11.0,19.0
350,26.0,11.0,19.0
351,17.0,10.0,17.0
352,17.0,10.0,17.0
353,12.0,13.0,15.0
354,12.0,13.0,15.0
355,19.0,36.0,14.0
356,19.0,36.0,14.0
357,18.0,73.0,14.0
358,18.0,73.0,14.0
359,15.0,86.0,19.0
360,15.0,86.0,19.0
361,22.0,81.0,12.0
362,22.0,81.0,12.0
363,34.0,41.0,12.0
364,34.0,41.0,12.0
365,73.0,0.0,0.0
366,73.0,0.0,0.0
367,26.0,17.0,1.0
368,26.0,17.0,1.0
369,29.0,17.0,7.0
370,29.0,17.0,7.0
371,40.0,8.0,7.0
372,40.0,8.0,7.0
373,42.0,7.0,0.0
374,42.0,7.0,0.0
375,35.0,6.0,3.0
376,35.0,6.0,3.0
377,32.0,2.0,8.0
378,32.0,2.0,8.0
379,35.0,3.0,13.0
380,35.0,3.0,13.0
381,55.0,3.0,16.0
382,55.0,3.0,16.0
383,64.0,7.0,4.0
384,64.0,7.0,4.0
385,63.0,11.0,4.0
386,63.0,11.0,4.0
387,68.0,12.0,0.0
388,68.0,12.0,0.0
389,61.0,9.0,0.0
390,61.0,9.0,0.0
391,68.0,16.0,0.0
392,68.0,16.0,0.0
393,92.0,36.0,13.0
394,92.0,36.0,13.0
395,100.0,52.0,10.0
396,100.0,52.0,10.0
397,104.0,54.0,7.0
398,104.0,54.0,7.0
399,84.0,39.0,1.0
400,84.0,39.0,1.0
401,81.0,20.0,8.0
402,81.0,20.0,8.0
403,137.0,5.0,16.0
404,137.0,5.0,16.0
405,118.0,10.0,17.0
406,118.0,10.0,17.0
407,83.0,20.0,12.0
408,83.0,20.0,12.0
409,149.0,21.0,6.0
410,149.0,21.0,6.0
411,162.0,22.0,11.0
412,162.0,22.0,11.0
413,106.0,30.0,11.0
414,106.0,30.0,11.0
415,82.0,33.0,10.0
416,82.0,33.0,10.0
417,92.0,47.0,7.0
418,92.0,47.0,7.0
419,90.0,59.0,9.0
420,90.0,59.0,9.0
421,92.0,72.0,0.0
422,92.0,72.0,0.0
423,100.0,81.0,2.0
424,100.0,81.0,2.0
425,110.0,42.0,7.0
426,110.0,42.0,7.0
427,97.0,12.0,9.0
428,97.0,12.0,9.0
429,95.0,19.0,7.0
430,95.0,19.0,7.0
431,114.0,20.0,10.0
432,114.0,20.0,10.0
433,98.0,12.0,21.0
434,98.0,12.0,21.0
435,78.0,13.0,25.0
436,78.0,13.0,25.0
437,105.0,11.0,27.0
438,105.0,11.0,27.0
439,116.0,6.0,16.0
440,116.0,6.0,16.0
441,85.0,0.0,16.0
442,85.0,0.0,16.0
443,83.0,0.0,8.0
444,83.0,0.0,8.0
445,47.0,0.0,8.0
446,47.0,0.0,8.0
447,66.0,4.0,0.0
448,66.0,4.0,0.0
449,67.0,4.0,0.0
450,67.0,4.0,0.0
451,61.0,5.0,0.0
452,61.0,5.0,0.0
453,70.0,7.0,17.0
454,70.0,7.0,17.0
455,69.0,12.0,23.0
456,69.0,12.0,23.0
457,58.0,13.0,23.0
458,58.0,13.0,23.0
459,0.0,28.0,28.0
460,0.0,28.0,28.0
461,9.0,35.0,28.0
462,9.0,35.0,28.0
463,11.0,35.0,0.0
464,11.0,35.0,0.0
465,14.0,0.0,13.0
466,14.0,0.0,13.0
467,22.0,0.0,13.0
468,22.0,0.0,13.0
469,22.0,0.0,1.0
470,22.0,0.0,1.0
471,26.0,9.0,3.0
472,26.0,9.0,3.0
473,34.0,6.0,11.0
474,34.0,6.0,11.0
475,38.0,4.0,9.0
476,38.0,4.0,9.0
477,54.0,3.0,7.0
478,54.0,3.0,7.0
479,73.0,4.0,5.0
480,73.0,4.0,5.0
481,82.0,6.0,14.0
482,82.0,6.0,14.0
483,93.0,7.0,10.0
484,93.0,7.0,10.0
485,86.0,5.0,11.0
486,86.0,5.0,11.0
487,92.0,17.0,16.0
488,92.0,17.0,16.0
489,110.0,34.0,9.0
490,110.0,34.0,9.0
491,122.0,41.0,11.0
492,122.0,41.0,11.0
493,144.0,37.0,12.0
494,144.0,37.0,12.0
495,150.0,35.0,12.0
496,150.0,35.0,12.0
497,157.0,34.0,15.0
498,157.0,34.0,15.0
499,188.0,39.0,10.0
500,188.0,39.0,10.0
501,236.0,39.0,13.0
502,236.0,39.0,13.0
503,239.0,38.0,14.0
504,239.0,38.0,14.0
505,248.0,45.0,10.0
506,248.0,45.0,10.0
507,218.0,32.0,12.0
508,218.0,32.0,12.0
509,235.0,22.0,22.0
510,235.0,22.0,22.0
511,242.0,23.0,29.0
512,242.0,23.0,29.0
513,260.0,16.0,26.0
514,260.0,16.0,26.0
515,294.0,14.0,14.0
516,294.0,14.0,14.0
517,183.0,10.0,4.0
518,183.0,10.0,4.0
519,161.0,18.0,8.0
520,161.0,18.0,8.0
521,186.0,20.0,10.0
522,186.0,20.0,10.0
523,216.0,9.0,5.0
524,216.0,9.0,5.0
525,190.0,9.0,4.0
526,190.0,9.0,4.0
527,209.0,8.0,5.0
528,209.0,8.0,5.0
529,207.0,0.0,14.0
530,207.0,0.0,14.0
531,172.0,6.0,20.0
532,172.0,6.0,20.0
533,204.0,6.0,27.0
534,204.0,6.0,27.0
535,403.0,13.0,31.0
536,403.0,13.0,31.0
537,183.0,17.0,19.0
538,183.0,17.0,19.0
539,208.0,16.0,11.0
540,208.0,16.0,11.0
541,191.0,15.0,11.0
542,191.0,15.0,11.0
543,235.0,21.0,4.0
544,235.0,21.0,4.0
545,128.0,13.0,11.0
546,128.0,13.0,11.0
547,78.0,6.0,11.0
548,78.0,6.0,11.0
549,58.0,3.0,0.0
550,58.0,3.0,0.0
551,81.0,7.0,0.0
552,81.0,7.0,0.0
553,64.0,19.0,0.0
554,64.0,19.0,0.0
555,75.0,27.0,0.0
556,75.0,27.0,0.0
557,78.0,0.0,0.0
558,78.0,0.0,0.0
559,84.0,0.0,0.0
560,84.0,0.0,0.0
561,56.0,5.0,0.0
562,56.0,5.0,0.0
563,45.0,4.0,0.0
564,45.0,4.0,0.0
565,44.0,7.0,19.0
566,44.0,7.0,19.0
567,50.0,12.0,18.0
568,50.0,12.0,18.0
569,35.0,12.0,14.0
570,35.0,12.0,14.0
571,42.0,5.0,9.0
572,42.0,5.0,9.0
573,68.0,12.0,10.0
574,68.0,12.0,10.0
575,80.0,26.0,7.0
576,80.0,26.0,7.0
577,86.0,32.0,5.0
578,86.0,32.0,5.0
579,76.0,44.0,12.0
580,76.0,44.0,12.0
581,77.0,60.0,6.0
582,77.0,60.0,6.0
583,81.0,84.0,7.0
584,81.0,84.0,7.0
585,92.0,84.0,13.0
586,92.0,84.0,13.0
587,106.0,95.0,14.0
588,106.0,95.0,14.0
589,116.0,128.0,21.0
590,116.0,128.0,21.0
591,121.0,111.0,26.0
592,121.0,111.0,26.0
593,96.0,103.0,14.0
594,96.0,103.0,14.0
595,95.0,103.0,6.0
596,95.0,103.0,6.0
597,101.0,113.0,9.0
598,101.0,113.0,9.0
599,97.0,150.0,15.0
600,97.0,150.0,15.0
601,132.0,156.0,14.0
602,132.0,156.0,14.0
603,139.0,164.0,9.0
604,139.0,164.0,9.0
605,127.0,176.0,9.0
606,127.0,176.0,9.0
607,110.0,126.0,12.0
608,110.0,126.0,12.0
609,130.0,94.0,14.0
610,130.0,94.0,14.0
611,130.0,94.0,14.0
612,178.0,70.0,13.0
613,140.0,159.0,25.0
614,140.0,159.0,25.0
615,138.0,124.0,47.0
616,138.0,124.0,47.0
617,155.0,114.0,67.0
618,155.0,114.0,67.0
619,266.0,142.0,78.0
620,266.0,142.0,78.0
621,198.0,141.0,71.0
622,198.0,141.0,71.0
623,196.0,138.0,74.0
624,196.0,138.0,74.0
625,239.0,156.0,82.0
626,239.0,156.0,82.0
627,341.0,128.0,82.0
628,341.0,128.0,82.0
629,235.0,142.0,76.0
630,235.0,142.0,76.0
631,167.0,155.0,75.0
632,167.0,155.0,75.0
633,164.0,82.0,52.0
634,164.0,82.0,52.0
635,199.0,72.0,40.0
636,199.0,72.0,40.0
637,251.0,59.0,44.0
638,251.0,59.0,44.0
639,281.0,86.0,48.0
640,281.0,86.0,48.0
641,405.0,86.0,21.0
642,405.0,86.0,21.0
643,347.0,16.0,21.0
644,347.0,16.0,21.0
645,354.0,16.0,0.0
646,354.0,16.0,0.0
647,221.0,17.0,0.0
648,221.0,17.0,0.0
649,242.0,17.0,0.0
650,242.0,17.0,0.0
651,279.0,35.0,0.0
