,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-nuclear
89,258.0,6075.0,857.0,382.0,3613.0,9742.0,3252.0
90,258.0,6092.0,873.0,361.0,3570.0,9785.0,3252.0
91,255.0,6069.0,894.0,325.0,3622.0,9804.0,3253.0
92,252.0,5983.0,896.0,276.0,3656.0,9804.0,3253.0
93,253.0,5978.0,874.0,253.0,3623.0,9755.0,3252.0
94,249.0,6013.0,870.0,254.0,3619.0,9821.0,3255.0
95,245.0,5988.0,858.0,230.0,3675.0,9795.0,3253.0
96,244.0,5991.0,833.0,212.0,3648.0,9729.0,3255.0
97,246.0,5987.0,812.0,212.0,3616.0,9755.0,3254.0
98,247.0,5995.0,821.0,212.0,3564.0,9690.0,3253.0
99,248.0,6003.0,802.0,212.0,3575.0,9675.0,3253.0
100,248.0,5979.0,792.0,213.0,3621.0,9616.0,3255.0
101,244.0,5988.0,764.0,209.0,3567.0,9547.0,3256.0
102,244.0,6003.0,743.0,189.0,3589.0,9489.0,3258.0
103,246.0,5924.0,732.0,158.0,3666.0,9453.0,3257.0
104,248.0,5932.0,720.0,124.0,3659.0,9453.0,3255.0
105,251.0,5959.0,703.0,93.0,3566.0,9445.0,3255.0
106,249.0,5887.0,686.0,70.0,3162.0,9372.0,3253.0
107,248.0,5804.0,693.0,68.0,3204.0,9234.0,3254.0
108,249.0,5738.0,703.0,68.0,3464.0,8733.0,3253.0
109,247.0,5687.0,721.0,68.0,3359.0,8468.0,3253.0
110,240.0,5548.0,738.0,69.0,3323.0,8289.0,3251.0
111,239.0,5601.0,739.0,69.0,3364.0,7905.0,3251.0
112,237.0,5592.0,707.0,69.0,3383.0,7885.0,3252.0
113,237.0,5523.0,672.0,68.0,3364.0,8068.0,3253.0
114,237.0,5572.0,649.0,68.0,3328.0,8159.0,3251.0
115,237.0,5572.0,649.0,68.0,3328.0,8159.0,3251.0
116,247.0,5886.0,615.0,29.0,3385.0,8153.0,3254.0
117,247.0,5906.0,606.0,2.0,3351.0,8168.0,3253.0
118,246.0,5913.0,618.0,2.0,3334.0,8177.0,3256.0
119,247.0,5904.0,611.0,20.0,3348.0,8130.0,3257.0
120,245.0,5957.0,602.0,24.0,3310.0,8034.0,3256.0
121,246.0,5921.0,578.0,24.0,3244.0,7942.0,3255.0
122,246.0,5771.0,552.0,24.0,3196.0,7779.0,3256.0
123,247.0,5674.0,542.0,29.0,3236.0,7712.0,3256.0
124,245.0,5619.0,560.0,56.0,3246.0,7641.0,3257.0
125,247.0,5555.0,548.0,72.0,3233.0,7560.0,3257.0
126,249.0,5477.0,523.0,72.0,3250.0,7520.0,3257.0
127,250.0,5405.0,499.0,72.0,3254.0,7475.0,3255.0
128,251.0,5352.0,474.0,72.0,3254.0,7431.0,3256.0
129,252.0,5324.0,454.0,72.0,3257.0,7410.0,3255.0
130,250.0,5278.0,440.0,73.0,3252.0,7418.0,3253.0
131,250.0,5222.0,428.0,72.0,3219.0,7435.0,3256.0
132,251.0,5212.0,434.0,72.0,3179.0,7440.0,3255.0
133,251.0,5135.0,442.0,72.0,3159.0,7463.0,3255.0
134,252.0,5109.0,448.0,72.0,3199.0,7475.0,3257.0
135,251.0,5128.0,439.0,72.0,3136.0,7451.0,3255.0
136,250.0,5156.0,423.0,72.0,3102.0,7386.0,3256.0
137,250.0,5127.0,404.0,47.0,3159.0,7245.0,3256.0
138,251.0,5107.0,395.0,7.0,3210.0,7147.0,3256.0
139,251.0,5103.0,394.0,6.0,3237.0,7076.0,3257.0
140,250.0,5096.0,392.0,6.0,3280.0,7011.0,3255.0
141,249.0,5114.0,393.0,6.0,3320.0,6946.0,3256.0
142,250.0,5109.0,395.0,6.0,3343.0,6852.0,3259.0
143,249.0,5105.0,387.0,6.0,3346.0,6774.0,3259.0
144,247.0,4996.0,380.0,6.0,3289.0,6791.0,3260.0
145,250.0,4833.0,370.0,6.0,3087.0,6738.0,3261.0
146,249.0,4842.0,367.0,3.0,3036.0,6661.0,3259.0
147,251.0,4855.0,374.0,2.0,2967.0,6523.0,3260.0
148,250.0,4803.0,380.0,2.0,3003.0,6414.0,3259.0
149,245.0,4793.0,396.0,2.0,3017.0,6326.0,3261.0
150,243.0,4781.0,411.0,2.0,2983.0,6225.0,3263.0
151,244.0,4684.0,407.0,2.0,2910.0,6185.0,3260.0
152,247.0,4575.0,416.0,2.0,2873.0,6121.0,3261.0
153,247.0,4433.0,431.0,2.0,2846.0,6099.0,3262.0
154,249.0,4330.0,426.0,2.0,2832.0,6113.0,3261.0
155,250.0,4329.0,434.0,2.0,2868.0,6024.0,3260.0
156,250.0,4280.0,442.0,2.0,2830.0,5936.0,3262.0
157,253.0,4194.0,446.0,2.0,2806.0,5897.0,3261.0
158,255.0,4162.0,438.0,2.0,2778.0,5685.0,3263.0
159,250.0,4189.0,414.0,2.0,2817.0,5494.0,3262.0
160,251.0,4213.0,397.0,2.0,2825.0,5425.0,3262.0
161,257.0,4205.0,387.0,2.0,2812.0,5411.0,3263.0
162,257.0,4196.0,395.0,2.0,2837.0,5346.0,3263.0
163,259.0,4147.0,397.0,2.0,2806.0,5314.0,3263.0
164,258.0,4107.0,378.0,2.0,2789.0,5259.0,3264.0
165,256.0,4055.0,349.0,2.0,2766.0,5267.0,3263.0
166,246.0,3983.0,332.0,2.0,2702.0,5255.0,3262.0
167,247.0,3832.0,336.0,2.0,2467.0,5257.0,3262.0
168,251.0,3795.0,327.0,2.0,2394.0,5205.0,3263.0
169,250.0,3705.0,314.0,2.0,2348.0,5109.0,3265.0
170,247.0,3662.0,305.0,2.0,2355.0,4959.0,3265.0
171,247.0,3650.0,310.0,2.0,2354.0,4888.0,3264.0
172,251.0,3629.0,307.0,2.0,2332.0,4839.0,3263.0
173,248.0,3592.0,311.0,2.0,2324.0,4810.0,3262.0
174,242.0,3532.0,314.0,2.0,2324.0,4804.0,3263.0
175,248.0,3450.0,342.0,2.0,2319.0,4793.0,3263.0
176,246.0,3411.0,369.0,2.0,2241.0,4790.0,3268.0
177,247.0,3369.0,392.0,2.0,2213.0,4789.0,3264.0
178,246.0,3326.0,396.0,2.0,2189.0,4760.0,3267.0
179,247.0,3302.0,377.0,2.0,2206.0,4681.0,3265.0
180,244.0,3339.0,369.0,2.0,2249.0,4596.0,3264.0
181,247.0,3367.0,370.0,2.0,2210.0,4515.0,3266.0
182,248.0,3348.0,376.0,2.0,2123.0,4427.0,3267.0
183,250.0,3296.0,376.0,2.0,2119.0,4376.0,3264.0
184,247.0,3192.0,373.0,2.0,2136.0,4357.0,3263.0
185,246.0,3123.0,376.0,2.0,2169.0,4334.0,3262.0
186,249.0,3075.0,359.0,2.0,2184.0,4321.0,3264.0
187,253.0,3066.0,350.0,2.0,2220.0,4312.0,3264.0
188,250.0,3099.0,367.0,2.0,2182.0,4278.0,3264.0
189,250.0,3099.0,367.0,2.0,2182.0,4278.0,3264.0
