,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
170,182.0,92.0,290.0,52.0
171,190.0,70.0,280.0,56.0
172,179.0,68.0,307.0,38.0
173,166.0,90.0,273.0,52.0
174,199.0,84.0,292.0,47.0
175,180.0,68.0,274.0,50.0
176,195.0,74.0,283.0,51.0
177,175.0,72.0,299.0,63.0
178,223.0,76.0,320.0,50.0
179,199.0,69.0,320.0,55.0
180,177.0,94.0,310.0,59.0
181,178.0,89.0,320.0,40.0
182,201.0,86.0,322.0,65.0
183,220.0,69.0,335.0,63.0
184,195.0,93.0,312.0,55.0
185,185.0,85.0,299.0,50.0
186,194.0,55.0,315.0,51.0
187,198.0,83.0,313.0,48.0
188,195.0,77.0,300.0,53.0
189,206.0,89.0,304.0,53.0
190,204.0,81.0,308.0,53.0
191,192.0,73.0,290.0,59.0
192,187.0,62.0,319.0,58.0
193,208.0,91.0,266.0,72.0
194,200.0,82.0,289.0,58.0
195,171.0,79.0,271.0,44.0
196,194.0,88.0,269.0,55.0
197,192.0,70.0,340.0,48.0
198,175.0,67.0,337.0,57.0
199,198.0,75.0,310.0,45.0
200,198.0,69.0,320.0,40.0
201,201.0,84.0,272.0,50.0
202,204.0,85.0,296.0,48.0
203,209.0,79.0,301.0,52.0
204,181.0,85.0,346.0,47.0
205,184.0,61.0,282.0,61.0
206,209.0,68.0,265.0,59.0
207,178.0,84.0,289.0,63.0
208,184.0,72.0,316.0,47.0
209,194.0,68.0,306.0,57.0
210,189.0,86.0,329.0,51.0
211,160.0,73.0,318.0,54.0
212,200.0,82.0,289.0,60.0
213,202.0,80.0,374.0,48.0
214,212.0,100.0,383.0,66.0
215,173.0,77.0,352.0,53.0
216,196.0,85.0,352.0,45.0
217,208.0,87.0,360.0,49.0
218,172.0,85.0,345.0,47.0
219,196.0,86.0,360.0,52.0
220,196.0,77.0,339.0,63.0
221,221.0,65.0,311.0,50.0
222,197.0,86.0,360.0,51.0
223,202.0,75.0,319.0,51.0
224,199.0,79.0,287.0,58.0
225,166.0,83.0,293.0,41.0
226,181.0,85.0,330.0,41.0
227,195.0,84.0,307.0,53.0
228,196.0,94.0,311.0,65.0
229,192.0,59.0,312.0,44.0
230,172.0,70.0,318.0,56.0
231,205.0,86.0,320.0,53.0
232,162.0,73.0,318.0,53.0
233,178.0,72.0,337.0,54.0
234,178.0,68.0,334.0,62.0
235,197.0,79.0,329.0,52.0
236,201.0,83.0,331.0,55.0
237,171.0,80.0,351.0,53.0
238,165.0,80.0,338.0,54.0
239,177.0,84.0,361.0,55.0
240,200.0,81.0,315.0,59.0
241,172.0,77.0,299.0,54.0
242,179.0,67.0,331.0,50.0
243,193.0,84.0,334.0,53.0
244,160.0,79.0,339.0,48.0
245,191.0,91.0,274.0,61.0
246,166.0,89.0,331.0,60.0
247,177.0,96.0,335.0,56.0
248,177.0,88.0,326.0,46.0
249,211.0,62.0,363.0,47.0
250,201.0,88.0,324.0,35.0
251,191.0,78.0,295.0,50.0
252,179.0,79.0,341.0,51.0
253,190.0,78.0,286.0,46.0
254,195.0,74.0,310.0,42.0
255,156.0,87.0,303.0,57.0
256,170.0,80.0,339.0,66.0
257,166.0,74.0,362.0,49.0
258,180.0,119.0,324.0,58.0
259,176.0,107.0,364.0,53.0
260,220.0,101.0,336.0,55.0
261,234.0,99.0,329.0,55.0
262,196.0,90.0,344.0,62.0
263,206.0,115.0,346.0,41.0
264,209.0,158.0,296.0,45.0
265,198.0,96.0,319.0,44.0
266,190.0,88.0,311.0,51.0
267,216.0,89.0,343.0,50.0
268,213.0,107.0,344.0,55.0
269,210.0,92.0,330.0,65.0
270,204.0,94.0,312.0,54.0
271,178.0,110.0,340.0,47.0
272,162.0,87.0,315.0,54.0
273,198.0,84.0,407.0,56.0
274,230.0,90.0,421.0,52.0
275,211.0,89.0,413.0,50.0
276,180.0,88.0,392.0,55.0
277,186.0,65.0,367.0,68.0
278,191.0,85.0,394.0,54.0
279,199.0,69.0,392.0,49.0
280,187.0,87.0,403.0,60.0
281,185.0,90.0,368.0,53.0
282,216.0,70.0,366.0,60.0
283,148.0,99.0,373.0,57.0
284,219.0,71.0,363.0,61.0
285,188.0,82.0,339.0,62.0
286,191.0,88.0,339.0,54.0
287,198.0,82.0,349.0,71.0
