,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
735,105.0,58.0,235.0,27.0
736,120.0,60.0,258.0,30.0
737,118.0,54.0,258.0,26.0
738,104.0,47.0,251.0,34.0
739,120.0,51.0,262.0,39.0
740,115.0,37.0,255.0,31.0
741,131.0,51.0,256.0,35.0
742,121.0,50.0,226.0,36.0
743,109.0,36.0,238.0,35.0
744,119.0,42.0,250.0,43.0
745,115.0,54.0,234.0,25.0
746,114.0,54.0,303.0,41.0
747,116.0,55.0,243.0,33.0
748,94.0,62.0,276.0,29.0
749,113.0,45.0,233.0,30.0
750,117.0,55.0,289.0,37.0
751,130.0,54.0,254.0,33.0
752,123.0,42.0,242.0,26.0
753,109.0,43.0,229.0,33.0
754,138.0,49.0,294.0,33.0
755,135.0,55.0,229.0,28.0
756,119.0,42.0,234.0,30.0
757,122.0,51.0,247.0,35.0
758,122.0,45.0,241.0,29.0
759,128.0,42.0,253.0,30.0
760,140.0,54.0,263.0,31.0
761,98.0,57.0,248.0,32.0
762,140.0,61.0,248.0,36.0
763,115.0,39.0,269.0,36.0
764,116.0,37.0,246.0,34.0
765,109.0,42.0,248.0,37.0
766,96.0,48.0,255.0,40.0
767,106.0,45.0,245.0,30.0
768,106.0,50.0,259.0,36.0
769,137.0,40.0,274.0,33.0
770,116.0,51.0,234.0,26.0
771,125.0,45.0,228.0,33.0
772,103.0,42.0,257.0,30.0
773,89.0,43.0,263.0,29.0
774,106.0,44.0,266.0,29.0
775,93.0,62.0,258.0,49.0
776,86.0,39.0,235.0,24.0
777,90.0,39.0,212.0,29.0
778,81.0,43.0,242.0,28.0
779,109.0,42.0,231.0,33.0
780,105.0,53.0,230.0,22.0
781,92.0,51.0,239.0,38.0
782,105.0,61.0,253.0,34.0
783,93.0,58.0,247.0,37.0
784,85.0,53.0,247.0,39.0
785,75.0,48.0,257.0,31.0
786,84.0,48.0,259.0,30.0
787,99.0,50.0,247.0,32.0
788,95.0,53.0,247.0,33.0
789,109.0,48.0,235.0,31.0
790,95.0,48.0,274.0,27.0
791,92.0,49.0,245.0,27.0
792,108.0,53.0,224.0,29.0
793,119.0,43.0,260.0,34.0
794,105.0,44.0,249.0,39.0
795,123.0,43.0,256.0,31.0
796,105.0,48.0,238.0,19.0
797,109.0,49.0,220.0,29.0
798,98.0,43.0,243.0,30.0
799,113.0,51.0,265.0,19.0
800,103.0,44.0,272.0,27.0
801,114.0,48.0,250.0,24.0
802,111.0,41.0,245.0,24.0
803,95.0,35.0,264.0,29.0
804,90.0,35.0,236.0,33.0
805,92.0,48.0,256.0,20.0
806,108.0,44.0,250.0,30.0
807,85.0,33.0,257.0,36.0
808,85.0,42.0,244.0,27.0
809,105.0,44.0,247.0,21.0
810,86.0,44.0,239.0,21.0
811,88.0,53.0,243.0,32.0
812,89.0,46.0,233.0,21.0
813,86.0,45.0,219.0,29.0
814,103.0,44.0,252.0,26.0
815,82.0,52.0,222.0,26.0
816,90.0,58.0,244.0,30.0
817,82.0,58.0,242.0,25.0
818,104.0,44.0,254.0,29.0
819,87.0,49.0,274.0,26.0
820,90.0,42.0,233.0,31.0
821,96.0,60.0,233.0,34.0
822,97.0,56.0,230.0,16.0
823,117.0,55.0,239.0,27.0
824,101.0,48.0,237.0,22.0
825,103.0,38.0,246.0,29.0
826,102.0,59.0,216.0,25.0
827,89.0,67.0,208.0,31.0
828,91.0,47.0,245.0,27.0
829,100.0,55.0,232.0,26.0
830,92.0,48.0,248.0,33.0
831,86.0,56.0,211.0,25.0
832,94.0,45.0,231.0,25.0
833,80.0,51.0,257.0,17.0
834,103.0,49.0,276.0,19.0
835,124.0,61.0,262.0,29.0
836,99.0,44.0,225.0,36.0
837,102.0,56.0,216.0,26.0
838,87.0,54.0,210.0,27.0
839,108.0,43.0,264.0,22.0
840,105.0,53.0,249.0,25.0
841,108.0,48.0,217.0,28.0
842,127.0,34.0,232.0,23.0
843,94.0,46.0,231.0,38.0
844,84.0,57.0,215.0,29.0
845,101.0,53.0,244.0,30.0
846,100.0,50.0,230.0,34.0
847,104.0,56.0,223.0,32.0
848,103.0,40.0,265.0,29.0
849,88.0,50.0,237.0,27.0
850,89.0,45.0,228.0,18.0
851,89.0,44.0,253.0,21.0
852,105.0,50.0,230.0,26.0
853,83.0,43.0,232.0,20.0
854,101.0,39.0,206.0,30.0
855,100.0,53.0,253.0,25.0
856,102.0,47.0,200.0,26.0
857,98.0,57.0,238.0,24.0
858,103.0,48.0,216.0,32.0
859,86.0,50.0,229.0,33.0
860,78.0,44.0,246.0,30.0
861,110.0,42.0,226.0,24.0
862,107.0,40.0,229.0,23.0
863,98.0,40.0,228.0,16.0
864,104.0,67.0,250.0,39.0
865,98.0,46.0,236.0,35.0
866,93.0,49.0,245.0,23.0
867,100.0,53.0,226.0,27.0
868,82.0,51.0,236.0,24.0
869,103.0,57.0,247.0,29.0
870,88.0,44.0,238.0,35.0
871,99.0,49.0,260.0,25.0
872,104.0,56.0,227.0,24.0
873,83.0,48.0,220.0,29.0
874,101.0,43.0,276.0,30.0
875,99.0,49.0,272.0,20.0
876,91.0,40.0,273.0,27.0
877,94.0,51.0,244.0,27.0
878,91.0,56.0,219.0,28.0
879,102.0,58.0,232.0,24.0
880,100.0,47.0,248.0,22.0
881,98.0,64.0,269.0,18.0
882,99.0,41.0,231.0,27.0
883,99.0,51.0,253.0,25.0
884,92.0,58.0,219.0,37.0
885,107.0,52.0,234.0,29.0
886,109.0,37.0,261.0,33.0
887,94.0,44.0,235.0,27.0
888,104.0,49.0,234.0,33.0
889,96.0,52.0,249.0,13.0
890,89.0,50.0,254.0,27.0
891,105.0,55.0,222.0,29.0
892,95.0,60.0,257.0,27.0
893,104.0,44.0,274.0,21.0
894,101.0,48.0,248.0,28.0
895,103.0,53.0,233.0,20.0
896,102.0,60.0,228.0,26.0
897,105.0,53.0,244.0,33.0
898,83.0,48.0,230.0,25.0
899,94.0,54.0,249.0,40.0
900,87.0,68.0,237.0,30.0
901,91.0,57.0,232.0,22.0
902,105.0,35.0,220.0,23.0
903,93.0,49.0,250.0,18.0
904,117.0,51.0,230.0,16.0
905,109.0,62.0,253.0,29.0
906,95.0,50.0,249.0,20.0
907,94.0,59.0,249.0,31.0
908,116.0,51.0,289.0,27.0
909,91.0,48.0,243.0,23.0
910,84.0,56.0,232.0,26.0
911,100.0,41.0,237.0,15.0
912,102.0,53.0,242.0,19.0
913,101.0,56.0,275.0,21.0
914,101.0,40.0,278.0,24.0
915,86.0,52.0,243.0,32.0
916,93.0,45.0,229.0,31.0
917,68.0,58.0,277.0,37.0
918,104.0,50.0,235.0,38.0
919,92.0,57.0,258.0,17.0
920,123.0,64.0,265.0,24.0
921,92.0,59.0,264.0,28.0
922,92.0,56.0,226.0,35.0
923,84.0,55.0,256.0,22.0
924,107.0,59.0,273.0,22.0
925,98.0,53.0,274.0,23.0
926,110.0,60.0,260.0,29.0
927,100.0,61.0,246.0,32.0
928,96.0,57.0,243.0,21.0
929,79.0,55.0,267.0,28.0
930,99.0,61.0,258.0,21.0
931,138.0,54.0,271.0,22.0
932,101.0,55.0,265.0,19.0
933,106.0,57.0,248.0,20.0
934,119.0,63.0,296.0,21.0
935,93.0,61.0,294.0,23.0
936,91.0,56.0,334.0,33.0
937,117.0,48.0,289.0,35.0
938,76.0,56.0,256.0,22.0
939,109.0,52.0,272.0,28.0
940,125.0,60.0,260.0,25.0
941,103.0,47.0,230.0,17.0
942,106.0,47.0,278.0,29.0
943,99.0,51.0,246.0,24.0
944,92.0,58.0,243.0,23.0
945,105.0,58.0,249.0,23.0
946,104.0,56.0,267.0,23.0
947,98.0,67.0,267.0,27.0
948,94.0,70.0,280.0,19.0
949,106.0,60.0,264.0,24.0
950,96.0,49.0,238.0,19.0
951,106.0,65.0,256.0,24.0
952,118.0,49.0,252.0,26.0
953,99.0,63.0,279.0,27.0
954,114.0,55.0,244.0,23.0
955,127.0,44.0,244.0,24.0
956,133.0,51.0,263.0,22.0
957,115.0,47.0,260.0,20.0
958,97.0,52.0,261.0,23.0
959,106.0,38.0,216.0,25.0
960,113.0,44.0,240.0,23.0
961,128.0,58.0,245.0,25.0
962,136.0,42.0,268.0,33.0
963,124.0,64.0,246.0,24.0
964,115.0,51.0,271.0,39.0
965,89.0,51.0,267.0,21.0
966,124.0,54.0,227.0,29.0
967,123.0,54.0,260.0,27.0
968,122.0,52.0,240.0,29.0
969,100.0,53.0,228.0,22.0
970,95.0,47.0,242.0,27.0
971,97.0,53.0,228.0,30.0
972,102.0,58.0,211.0,29.0
973,88.0,46.0,251.0,21.0
974,95.0,53.0,265.0,21.0
975,101.0,49.0,236.0,21.0
976,97.0,54.0,273.0,28.0
977,103.0,72.0,252.0,21.0
978,90.0,49.0,259.0,21.0
979,98.0,49.0,267.0,28.0
980,106.0,55.0,267.0,30.0
981,112.0,52.0,243.0,24.0
982,105.0,57.0,256.0,26.0
983,115.0,56.0,245.0,30.0
984,89.0,57.0,260.0,27.0
985,93.0,56.0,264.0,22.0
986,85.0,65.0,253.0,30.0
987,85.0,54.0,253.0,30.0
988,83.0,44.0,227.0,23.0
989,92.0,52.0,256.0,20.0
990,99.0,44.0,252.0,19.0
991,95.0,66.0,246.0,29.0
992,82.0,32.0,205.0,20.0
993,102.0,48.0,239.0,12.0
994,109.0,48.0,240.0,39.0
995,97.0,50.0,260.0,32.0
996,104.0,68.0,286.0,24.0
997,90.0,68.0,224.0,13.0
998,85.0,43.0,258.0,33.0
999,95.0,53.0,290.0,25.0
