,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
223,80.0,5.0,3.0
224,77.0,5.0,0.0
225,77.0,10.0,0.0
226,60.0,10.0,3.0
227,60.0,13.0,3.0
228,56.0,13.0,6.0
229,56.0,14.0,6.0
230,51.0,14.0,7.0
231,51.0,20.0,7.0
232,54.0,20.0,6.0
233,54.0,31.0,6.0
234,67.0,31.0,5.0
235,67.0,31.0,5.0
236,66.0,31.0,5.0
237,66.0,33.0,5.0
238,78.0,33.0,3.0
239,78.0,42.0,3.0
240,88.0,42.0,4.0
241,88.0,39.0,4.0
242,49.0,39.0,6.0
243,49.0,29.0,6.0
244,46.0,29.0,8.0
245,46.0,31.0,8.0
246,59.0,31.0,1.0
247,59.0,48.0,1.0
248,74.0,48.0,4.0
249,74.0,56.0,4.0
250,70.0,56.0,7.0
251,70.0,40.0,7.0
252,66.0,40.0,8.0
253,66.0,35.0,8.0
254,74.0,35.0,11.0
255,74.0,36.0,11.0
256,104.0,36.0,10.0
257,104.0,36.0,10.0
258,136.0,36.0,12.0
259,136.0,44.0,12.0
260,191.0,44.0,17.0
261,191.0,58.0,17.0
262,168.0,58.0,27.0
263,168.0,76.0,27.0
264,207.0,76.0,26.0
265,207.0,83.0,26.0
266,251.0,83.0,11.0
267,251.0,99.0,11.0
268,211.0,99.0,17.0
269,211.0,119.0,17.0
270,154.0,119.0,13.0
271,154.0,126.0,13.0
272,122.0,126.0,16.0
273,122.0,138.0,16.0
274,133.0,138.0,26.0
275,133.0,168.0,26.0
276,164.0,168.0,24.0
277,164.0,195.0,24.0
278,161.0,195.0,16.0
279,161.0,192.0,16.0
280,186.0,192.0,0.0
281,186.0,210.0,0.0
282,181.0,210.0,2.0
283,181.0,155.0,2.0
284,100.0,155.0,2.0
285,100.0,133.0,2.0
286,96.0,133.0,0.0
287,96.0,81.0,0.0
288,121.0,81.0,7.0
289,121.0,19.0,7.0
290,36.0,19.0,7.0
291,36.0,7.0,7.0
292,36.0,7.0,3.0
