,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
756,115.0,262.0,54.0,34.0
757,110.0,258.0,54.0,42.0
758,127.0,235.0,58.0,38.0
759,126.0,277.0,58.0,40.0
760,121.0,258.0,58.0,46.0
761,122.0,240.0,62.0,33.0
762,126.0,261.0,64.0,35.0
763,128.0,255.0,45.0,35.0
764,132.0,243.0,55.0,37.0
765,123.0,263.0,60.0,34.0
766,123.0,276.0,52.0,27.0
767,121.0,266.0,74.0,32.0
768,134.0,261.0,55.0,41.0
769,119.0,265.0,64.0,39.0
770,127.0,269.0,63.0,43.0
771,129.0,244.0,63.0,46.0
772,131.0,266.0,55.0,38.0
773,125.0,251.0,47.0,29.0
774,120.0,272.0,54.0,31.0
775,120.0,308.0,57.0,41.0
776,128.0,283.0,58.0,36.0
777,142.0,278.0,43.0,36.0
778,116.0,249.0,42.0,32.0
779,120.0,238.0,50.0,30.0
780,122.0,280.0,50.0,36.0
781,111.0,265.0,47.0,25.0
782,121.0,249.0,60.0,32.0
783,118.0,263.0,47.0,46.0
784,112.0,283.0,53.0,48.0
785,118.0,280.0,40.0,39.0
786,107.0,262.0,46.0,42.0
787,133.0,276.0,50.0,40.0
788,107.0,257.0,61.0,26.0
789,111.0,251.0,42.0,39.0
790,134.0,245.0,65.0,34.0
791,123.0,258.0,50.0,37.0
792,124.0,234.0,64.0,40.0
793,117.0,255.0,63.0,38.0
794,112.0,269.0,64.0,38.0
795,122.0,256.0,67.0,39.0
796,105.0,277.0,70.0,37.0
797,110.0,254.0,75.0,27.0
798,137.0,281.0,62.0,36.0
799,117.0,266.0,66.0,41.0
800,128.0,243.0,53.0,30.0
801,104.0,234.0,48.0,31.0
802,119.0,248.0,63.0,30.0
803,111.0,238.0,66.0,27.0
804,112.0,231.0,66.0,31.0
805,120.0,260.0,58.0,39.0
806,121.0,263.0,61.0,33.0
807,96.0,235.0,78.0,41.0
808,115.0,243.0,67.0,41.0
809,110.0,265.0,49.0,29.0
810,112.0,242.0,63.0,26.0
811,131.0,261.0,62.0,30.0
812,102.0,238.0,53.0,36.0
813,109.0,259.0,65.0,32.0
814,110.0,247.0,63.0,28.0
815,118.0,225.0,63.0,33.0
816,130.0,259.0,58.0,45.0
817,106.0,218.0,60.0,39.0
818,106.0,222.0,45.0,25.0
819,106.0,213.0,61.0,35.0
820,119.0,251.0,63.0,32.0
821,112.0,258.0,51.0,33.0
822,102.0,214.0,60.0,35.0
823,118.0,231.0,48.0,21.0
824,112.0,233.0,52.0,35.0
825,105.0,219.0,42.0,29.0
826,112.0,248.0,54.0,39.0
827,97.0,260.0,44.0,31.0
828,106.0,241.0,60.0,32.0
829,92.0,248.0,60.0,27.0
830,111.0,248.0,52.0,38.0
831,101.0,226.0,52.0,35.0
832,110.0,238.0,62.0,35.0
833,104.0,249.0,54.0,30.0
834,93.0,254.0,55.0,43.0
835,126.0,275.0,49.0,31.0
836,111.0,257.0,47.0,32.0
837,112.0,294.0,57.0,32.0
838,105.0,258.0,62.0,38.0
839,123.0,264.0,60.0,29.0
840,93.0,238.0,60.0,32.0
841,109.0,233.0,46.0,23.0
842,116.0,201.0,52.0,31.0
843,109.0,225.0,47.0,29.0
844,111.0,254.0,47.0,42.0
845,107.0,238.0,49.0,28.0
846,108.0,248.0,43.0,32.0
847,96.0,229.0,63.0,28.0
848,99.0,234.0,55.0,35.0
849,103.0,232.0,56.0,37.0
850,129.0,246.0,51.0,39.0
851,112.0,220.0,59.0,23.0
852,108.0,257.0,60.0,28.0
853,102.0,255.0,54.0,28.0
854,110.0,221.0,59.0,30.0
855,110.0,238.0,59.0,27.0
856,122.0,192.0,70.0,28.0
857,106.0,222.0,33.0,29.0
858,104.0,228.0,59.0,37.0
859,103.0,230.0,54.0,29.0
860,119.0,244.0,46.0,27.0
861,95.0,211.0,46.0,32.0
862,105.0,233.0,44.0,27.0
863,128.0,236.0,53.0,32.0
864,104.0,251.0,74.0,25.0
865,110.0,249.0,37.0,27.0
866,119.0,259.0,54.0,28.0
867,100.0,232.0,43.0,30.0
868,107.0,246.0,49.0,29.0
869,112.0,224.0,52.0,33.0
870,103.0,230.0,67.0,29.0
871,109.0,222.0,33.0,37.0
872,125.0,227.0,51.0,33.0
873,84.0,254.0,56.0,28.0
874,110.0,234.0,51.0,25.0
875,99.0,236.0,60.0,35.0
876,113.0,206.0,55.0,22.0
877,101.0,220.0,55.0,32.0
878,110.0,220.0,57.0,42.0
879,106.0,242.0,57.0,30.0
880,93.0,222.0,43.0,22.0
881,97.0,218.0,51.0,34.0
882,95.0,216.0,62.0,24.0
883,111.0,232.0,65.0,28.0
884,124.0,224.0,59.0,28.0
885,118.0,255.0,43.0,30.0
886,107.0,236.0,54.0,44.0
887,85.0,245.0,61.0,30.0
888,92.0,220.0,46.0,23.0
889,97.0,238.0,60.0,23.0
890,122.0,206.0,51.0,34.0
891,111.0,224.0,52.0,19.0
892,109.0,234.0,53.0,23.0
893,102.0,221.0,49.0,37.0
894,90.0,221.0,62.0,25.0
895,115.0,240.0,45.0,36.0
896,121.0,240.0,58.0,28.0
897,85.0,238.0,58.0,23.0
898,105.0,251.0,53.0,25.0
899,104.0,256.0,61.0,34.0
900,109.0,256.0,51.0,26.0
901,105.0,207.0,63.0,23.0
902,112.0,233.0,52.0,23.0
903,112.0,258.0,55.0,31.0
904,97.0,239.0,47.0,19.0
905,102.0,225.0,54.0,19.0
906,99.0,267.0,65.0,25.0
907,136.0,235.0,74.0,22.0
908,131.0,219.0,51.0,28.0
909,108.0,237.0,71.0,40.0
910,105.0,222.0,62.0,34.0
911,97.0,216.0,45.0,30.0
912,93.0,227.0,65.0,27.0
913,102.0,235.0,53.0,22.0
914,89.0,239.0,49.0,27.0
915,110.0,218.0,50.0,29.0
916,87.0,231.0,49.0,31.0
917,95.0,243.0,62.0,23.0
918,94.0,247.0,54.0,20.0
919,105.0,206.0,53.0,27.0
920,106.0,237.0,54.0,21.0
921,91.0,245.0,50.0,32.0
922,102.0,231.0,53.0,28.0
923,99.0,216.0,48.0,26.0
924,103.0,216.0,48.0,20.0
925,116.0,225.0,61.0,24.0
926,112.0,222.0,53.0,29.0
927,111.0,238.0,67.0,23.0
928,114.0,198.0,53.0,38.0
929,100.0,228.0,50.0,19.0
930,94.0,205.0,53.0,24.0
931,95.0,223.0,44.0,29.0
932,108.0,233.0,53.0,25.0
933,119.0,221.0,57.0,20.0
934,105.0,218.0,67.0,34.0
935,106.0,242.0,67.0,30.0
936,96.0,221.0,50.0,24.0
937,84.0,223.0,42.0,32.0
938,99.0,203.0,47.0,13.0
939,110.0,234.0,53.0,29.0
940,114.0,229.0,72.0,21.0
941,97.0,214.0,46.0,26.0
942,120.0,224.0,57.0,25.0
943,115.0,207.0,51.0,18.0
944,103.0,225.0,67.0,29.0
945,104.0,215.0,65.0,22.0
946,90.0,224.0,60.0,30.0
947,114.0,252.0,68.0,17.0
948,89.0,214.0,55.0,31.0
949,97.0,237.0,69.0,30.0
950,112.0,242.0,53.0,23.0
951,124.0,204.0,72.0,30.0
952,105.0,232.0,56.0,27.0
953,105.0,260.0,58.0,27.0
954,106.0,218.0,57.0,17.0
955,105.0,264.0,67.0,27.0
956,90.0,250.0,50.0,22.0
957,98.0,236.0,58.0,33.0
958,91.0,230.0,62.0,20.0
959,130.0,271.0,58.0,23.0
960,92.0,252.0,67.0,21.0
961,110.0,257.0,60.0,32.0
962,110.0,247.0,56.0,27.0
963,92.0,247.0,51.0,36.0
964,115.0,229.0,67.0,30.0
965,107.0,257.0,61.0,29.0
966,128.0,218.0,73.0,32.0
967,99.0,236.0,57.0,19.0
968,98.0,240.0,66.0,28.0
969,114.0,205.0,53.0,25.0
970,118.0,221.0,47.0,22.0
971,113.0,247.0,62.0,22.0
972,110.0,207.0,56.0,26.0
973,113.0,253.0,55.0,28.0
974,105.0,210.0,48.0,28.0
975,107.0,213.0,66.0,28.0
976,96.0,190.0,66.0,25.0
977,92.0,219.0,60.0,22.0
978,122.0,236.0,66.0,25.0
979,102.0,215.0,70.0,20.0
980,111.0,193.0,59.0,29.0
981,114.0,227.0,52.0,36.0
982,107.0,210.0,50.0,26.0
983,107.0,242.0,58.0,39.0
984,108.0,224.0,56.0,24.0
985,85.0,263.0,56.0,33.0
986,109.0,259.0,48.0,31.0
987,104.0,225.0,58.0,20.0
988,105.0,212.0,53.0,27.0
989,113.0,210.0,49.0,32.0
990,116.0,235.0,48.0,33.0
991,105.0,234.0,55.0,29.0
992,112.0,225.0,52.0,24.0
993,103.0,236.0,54.0,23.0
994,103.0,232.0,67.0,28.0
995,97.0,243.0,52.0,26.0
996,109.0,219.0,57.0,27.0
997,102.0,217.0,54.0,27.0
998,118.0,228.0,61.0,44.0
999,103.0,224.0,66.0,28.0
