,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
170,190.0,292.0,94.0,45.0
171,154.0,266.0,82.0,43.0
172,181.0,278.0,110.0,51.0
173,165.0,287.0,104.0,60.0
174,178.0,285.0,77.0,45.0
175,160.0,326.0,98.0,45.0
176,164.0,312.0,86.0,47.0
177,180.0,299.0,97.0,33.0
178,186.0,316.0,91.0,64.0
179,171.0,322.0,82.0,53.0
180,146.0,302.0,69.0,39.0
181,190.0,274.0,97.0,47.0
182,203.0,306.0,80.0,48.0
183,184.0,254.0,84.0,57.0
184,173.0,279.0,90.0,59.0
185,161.0,283.0,92.0,48.0
186,175.0,244.0,87.0,43.0
187,150.0,250.0,96.0,43.0
188,169.0,306.0,96.0,48.0
189,179.0,263.0,83.0,49.0
190,189.0,292.0,84.0,44.0
191,191.0,286.0,72.0,47.0
192,162.0,266.0,95.0,43.0
193,189.0,268.0,92.0,49.0
194,187.0,271.0,70.0,45.0
195,173.0,283.0,85.0,50.0
196,166.0,284.0,89.0,50.0
197,183.0,275.0,88.0,42.0
198,180.0,283.0,82.0,41.0
199,161.0,274.0,91.0,39.0
200,171.0,260.0,72.0,45.0
201,184.0,297.0,87.0,47.0
202,186.0,272.0,84.0,44.0
203,178.0,256.0,99.0,46.0
204,197.0,287.0,67.0,42.0
205,167.0,303.0,83.0,51.0
206,162.0,289.0,77.0,35.0
207,190.0,281.0,95.0,54.0
208,181.0,275.0,69.0,43.0
209,186.0,288.0,85.0,53.0
210,156.0,290.0,100.0,48.0
211,157.0,309.0,84.0,50.0
212,173.0,277.0,94.0,42.0
213,177.0,291.0,81.0,55.0
214,168.0,257.0,95.0,60.0
215,172.0,284.0,87.0,51.0
216,177.0,292.0,99.0,53.0
217,181.0,305.0,80.0,55.0
218,178.0,245.0,99.0,43.0
219,163.0,261.0,87.0,46.0
220,174.0,278.0,100.0,58.0
221,189.0,284.0,74.0,49.0
222,180.0,268.0,81.0,50.0
223,173.0,310.0,95.0,51.0
224,186.0,347.0,94.0,48.0
225,190.0,332.0,97.0,55.0
226,180.0,294.0,81.0,52.0
227,153.0,289.0,100.0,56.0
228,165.0,323.0,83.0,51.0
229,194.0,300.0,86.0,54.0
230,203.0,286.0,104.0,45.0
231,165.0,287.0,103.0,53.0
232,181.0,298.0,91.0,58.0
233,179.0,301.0,95.0,55.0
234,170.0,302.0,94.0,53.0
235,203.0,336.0,93.0,45.0
236,187.0,338.0,104.0,40.0
237,195.0,324.0,88.0,62.0
238,200.0,305.0,98.0,64.0
239,179.0,330.0,96.0,51.0
240,172.0,323.0,97.0,46.0
241,200.0,331.0,88.0,39.0
242,191.0,332.0,85.0,50.0
243,164.0,339.0,78.0,44.0
244,187.0,336.0,94.0,48.0
245,186.0,310.0,79.0,55.0
246,184.0,277.0,100.0,53.0
247,190.0,308.0,80.0,48.0
248,178.0,301.0,83.0,48.0
249,183.0,317.0,105.0,53.0
250,197.0,293.0,105.0,55.0
251,179.0,330.0,105.0,45.0
252,181.0,306.0,99.0,54.0
253,187.0,310.0,88.0,45.0
254,192.0,332.0,105.0,52.0
255,182.0,308.0,100.0,47.0
256,207.0,305.0,86.0,60.0
257,183.0,306.0,81.0,46.0
258,204.0,305.0,89.0,46.0
259,200.0,322.0,90.0,57.0
260,188.0,308.0,85.0,41.0
261,185.0,360.0,85.0,57.0
262,189.0,296.0,74.0,47.0
263,183.0,371.0,98.0,56.0
264,215.0,337.0,80.0,57.0
265,188.0,332.0,75.0,57.0
266,180.0,341.0,89.0,57.0
267,213.0,313.0,129.0,39.0
268,170.0,291.0,93.0,50.0
269,184.0,328.0,93.0,46.0
270,172.0,295.0,110.0,47.0
271,176.0,315.0,102.0,57.0
272,195.0,306.0,103.0,54.0
273,199.0,323.0,106.0,47.0
274,173.0,305.0,85.0,50.0
275,197.0,344.0,85.0,57.0
276,200.0,330.0,80.0,63.0
277,194.0,325.0,89.0,48.0
278,197.0,342.0,92.0,50.0
279,212.0,337.0,69.0,59.0
280,172.0,290.0,84.0,55.0
281,176.0,296.0,104.0,53.0
282,185.0,311.0,87.0,41.0
283,206.0,295.0,100.0,54.0
284,165.0,359.0,97.0,53.0
285,179.0,311.0,84.0,38.0
286,174.0,321.0,87.0,54.0
287,183.0,313.0,79.0,55.0
288,194.0,299.0,104.0,55.0
289,175.0,338.0,94.0,59.0
290,218.0,299.0,100.0,53.0
291,190.0,316.0,105.0,38.0
292,192.0,300.0,102.0,42.0
293,174.0,345.0,102.0,47.0
294,186.0,350.0,108.0,53.0
295,210.0,407.0,1089.0,69.0
296,141.0,268.0,800.0,55.0
297,216.0,373.0,678.0,67.0
298,202.0,372.0,451.0,57.0
299,195.0,349.0,380.0,57.0
300,233.0,377.0,344.0,56.0
301,196.0,367.0,298.0,55.0
302,197.0,367.0,249.0,59.0
303,194.0,378.0,200.0,55.0
304,211.0,330.0,192.0,45.0
305,194.0,363.0,163.0,51.0
306,183.0,329.0,151.0,52.0
307,165.0,368.0,144.0,49.0
308,198.0,359.0,126.0,59.0
309,181.0,357.0,134.0,52.0
310,186.0,358.0,135.0,49.0
311,206.0,357.0,95.0,56.0
312,209.0,326.0,107.0,48.0
313,200.0,329.0,104.0,53.0
314,180.0,354.0,127.0,53.0
315,192.0,345.0,86.0,63.0
316,195.0,308.0,107.0,43.0
317,185.0,356.0,93.0,47.0
318,194.0,320.0,118.0,57.0
319,173.0,361.0,89.0,43.0
320,187.0,363.0,103.0,58.0
321,187.0,367.0,100.0,45.0
322,195.0,329.0,102.0,52.0
323,207.0,328.0,91.0,52.0
324,181.0,352.0,80.0,55.0
325,195.0,344.0,104.0,51.0
326,197.0,314.0,82.0,58.0
327,183.0,368.0,83.0,60.0
328,175.0,310.0,95.0,68.0
329,201.0,363.0,95.0,65.0
330,168.0,367.0,105.0,66.0
331,174.0,336.0,93.0,44.0
332,219.0,317.0,86.0,48.0
333,180.0,328.0,98.0,44.0
334,214.0,385.0,85.0,50.0
335,189.0,331.0,99.0,44.0
336,198.0,323.0,100.0,50.0
337,169.0,358.0,84.0,46.0
338,172.0,344.0,80.0,50.0
339,212.0,325.0,96.0,60.0
340,177.0,327.0,80.0,45.0
341,180.0,328.0,82.0,38.0
342,168.0,335.0,101.0,47.0
343,209.0,337.0,108.0,49.0
344,180.0,323.0,94.0,60.0
345,195.0,325.0,89.0,41.0
346,189.0,334.0,67.0,45.0
347,174.0,363.0,77.0,54.0
348,201.0,358.0,106.0,52.0
349,185.0,322.0,105.0,49.0
350,200.0,341.0,61.0,61.0
351,204.0,327.0,105.0,47.0
352,187.0,328.0,92.0,64.0
353,207.0,310.0,87.0,58.0
354,181.0,332.0,66.0,57.0
355,218.0,377.0,102.0,48.0
356,170.0,380.0,87.0,55.0
357,169.0,376.0,78.0,55.0
358,178.0,387.0,75.0,48.0
359,184.0,352.0,79.0,58.0
360,167.0,379.0,82.0,50.0
361,181.0,349.0,85.0,57.0
362,188.0,336.0,77.0,50.0
363,196.0,299.0,97.0,47.0
364,190.0,340.0,81.0,56.0
365,184.0,379.0,93.0,69.0
366,206.0,334.0,90.0,50.0
367,200.0,315.0,83.0,54.0
368,205.0,352.0,91.0,56.0
369,186.0,348.0,86.0,57.0
370,195.0,342.0,81.0,69.0
371,205.0,340.0,84.0,61.0
372,173.0,331.0,83.0,52.0
373,300.0,329.0,79.0,168.0
374,189.0,346.0,95.0,62.0
375,186.0,347.0,82.0,60.0
376,197.0,304.0,98.0,47.0
377,192.0,338.0,96.0,51.0
378,191.0,357.0,90.0,45.0
379,198.0,347.0,69.0,52.0
380,187.0,342.0,86.0,49.0
381,200.0,312.0,101.0,57.0
382,173.0,308.0,101.0,67.0
383,161.0,361.0,78.0,46.0
384,205.0,317.0,92.0,50.0
385,194.0,362.0,79.0,67.0
386,168.0,328.0,106.0,54.0
387,172.0,322.0,87.0,65.0
388,159.0,334.0,90.0,48.0
389,161.0,327.0,86.0,60.0
390,178.0,348.0,78.0,51.0
391,185.0,310.0,80.0,43.0
392,163.0,298.0,94.0,50.0
393,202.0,347.0,80.0,66.0
394,189.0,319.0,81.0,57.0
395,169.0,344.0,63.0,64.0
396,147.0,350.0,66.0,49.0
397,202.0,357.0,74.0,56.0
398,178.0,325.0,91.0,51.0
399,162.0,333.0,67.0,59.0
400,186.0,335.0,79.0,53.0
401,194.0,344.0,69.0,49.0
402,183.0,334.0,103.0,53.0
403,199.0,358.0,68.0,64.0
404,192.0,321.0,76.0,55.0
405,187.0,298.0,73.0,57.0
406,190.0,314.0,84.0,56.0
407,161.0,367.0,77.0,60.0
408,195.0,349.0,87.0,63.0
409,166.0,338.0,75.0,54.0
410,161.0,349.0,91.0,56.0
411,210.0,330.0,76.0,55.0
412,184.0,342.0,87.0,60.0
413,189.0,291.0,74.0,58.0
414,162.0,332.0,75.0,52.0
415,196.0,383.0,101.0,59.0
416,194.0,359.0,76.0,48.0
417,177.0,340.0,75.0,74.0
418,176.0,355.0,75.0,65.0
419,209.0,325.0,75.0,52.0
420,174.0,338.0,82.0,47.0
421,168.0,353.0,75.0,64.0
422,175.0,348.0,78.0,54.0
423,155.0,347.0,87.0,60.0
424,166.0,318.0,80.0,52.0
425,169.0,323.0,80.0,47.0
426,184.0,387.0,78.0,45.0
427,179.0,362.0,85.0,59.0
428,169.0,331.0,73.0,47.0
429,197.0,351.0,79.0,55.0
430,197.0,338.0,74.0,59.0
431,187.0,338.0,68.0,46.0
432,182.0,326.0,72.0,49.0
433,192.0,322.0,74.0,51.0
434,163.0,362.0,74.0,49.0
435,183.0,357.0,105.0,58.0
436,166.0,367.0,68.0,53.0
437,164.0,357.0,77.0,53.0
438,180.0,371.0,88.0,56.0
439,171.0,333.0,62.0,57.0
440,188.0,323.0,87.0,57.0
441,167.0,336.0,63.0,53.0
442,169.0,299.0,72.0,51.0
443,192.0,296.0,71.0,45.0
444,164.0,327.0,69.0,60.0
