,helicopter_theta,helicopter_psi
0,-0.48846000000000006,1.2334
1,-0.48846000000000006,1.2326
2,-0.48846000000000006,1.2326
3,-0.49088999999999994,1.2229
4,-0.48441999999999996,1.2075
5,-0.48968,1.2286
6,-0.48158,1.214
7,-0.48239,1.2262
8,-0.47591999999999995,1.2108
9,-0.47794,1.2075
10,-0.48158,1.2286
11,-0.48239,1.2326
12,-0.47631999999999997,1.2084
13,-0.47511000000000003,1.2116
14,-0.48361000000000004,1.2213
15,-0.47226999999999997,1.2116
16,-0.47591999999999995,1.2197
17,-0.4662,1.2092
18,-0.46458,1.2051
19,-0.46781999999999996,1.2173
20,-0.4662,1.21
21,-0.46781999999999996,1.2173
22,-0.47025,1.2334
23,-0.4662,1.2286
24,-0.46175,1.2181
25,-0.46418000000000004,1.2351
26,-0.45851000000000003,1.214
27,-0.4581,1.2059
28,-0.4581,1.2067
29,-0.4581,1.2067
30,-0.45648999999999995,1.2205
31,-0.45648999999999995,1.2254
32,-0.45891000000000004,1.2205
33,-0.45568000000000003,1.2181
34,-0.45568000000000003,1.2173
35,-0.44596,1.21
36,-0.44677,1.2059
37,-0.44798000000000004,1.2124
38,-0.44758000000000003,1.2108
39,-0.44878999999999997,1.2164
40,-0.4407,1.2043
41,-0.43988999999999995,1.2059
42,-0.44798000000000004,1.2262
43,-0.44272,1.2148
44,-0.43746,1.2051
45,-0.43665,1.2173
46,-0.43948000000000004,1.2318
47,-0.43948000000000004,1.2318
48,-0.43543999999999994,1.2075
49,-0.43948000000000004,1.2326
50,-0.43543999999999994,1.2197
51,-0.43422,1.2326
52,-0.43098000000000003,1.2181
53,-0.42733999999999994,1.2067
54,-0.42936,1.2156
55,-0.43503000000000003,1.2294
56,-0.42896000000000006,1.2286
57,-0.42572,1.2205
58,-0.42086,1.2075
59,-0.42936,1.227
60,-0.42855,1.2294
61,-0.42896000000000006,1.227
62,-0.41398,1.2092
63,-0.41803,1.2156
64,-0.41965,1.2278
65,-0.41965,1.2278
66,-0.41115,1.21
67,-0.41843,1.2237
68,-0.41073999999999994,1.2124
69,-0.41236000000000006,1.2173
70,-0.40912,1.2148
71,-0.41115,1.2213
72,-0.40305,1.2043
73,-0.40467,1.2092
74,-0.40871999999999997,1.2181
75,-0.41196000000000005,1.2254
76,-0.40062,1.21
77,-0.4071,1.2221
78,-0.40224,1.2173
79,-0.39941,1.214
80,-0.40589000000000003,1.227
81,-0.40224,1.2278
82,-0.40143,1.2173
83,-0.40426999999999996,1.2302
84,-0.39131,1.2043
85,-0.39658000000000004,1.2189
86,-0.38888,1.21
87,-0.39455,1.2197
88,-0.3901,1.2132
89,-0.38766999999999996,1.2148
90,-0.39293,1.2205
91,-0.38766999999999996,1.2156
92,-0.38766999999999996,1.2156
93,-0.39415,1.2237
94,-0.3905,1.2181
95,-0.39211999999999997,1.2302
96,-0.3901,1.2309999999999999
97,-0.39253000000000005,1.2197
98,-0.38969000000000004,1.2262
99,-0.38079,1.2132
100,-0.38079,1.2108
101,-0.38079,1.2108
102,-0.3816,1.2148
103,-0.38079,1.2116
104,-0.37795,1.2116
105,-0.3816,1.2156
106,-0.38079,1.214
107,-0.38727,1.2278
108,-0.38565,1.2318
109,-0.38565,1.2197
110,-0.38565,1.2197
111,-0.37229,1.2132
112,-0.37472,1.2132
113,-0.38240999999999997,1.2237
114,-0.37472,1.2124
115,-0.3731,1.2059
116,-0.37269,1.2051
117,-0.37836,1.2302
118,-0.37755,1.2254
119,-0.37674,1.2221
120,-0.37593000000000004,1.2156
121,-0.37917,1.2197
122,-0.38079,1.227
123,-0.36541,1.2067
124,-0.37431,1.2221
125,-0.36662,1.2035
126,-0.3735,1.2326
127,-0.36743000000000003,1.2075
128,-0.36743000000000003,1.2075
129,-0.36824,1.2132
130,-0.3646,1.2092
131,-0.37472,1.2278
132,-0.36783000000000005,1.2132
133,-0.365,1.21
134,-0.3646,1.21
135,-0.37472,1.2286
136,-0.36985999999999997,1.2181
137,-0.36662,1.2124
138,-0.3646,1.21
139,-0.36945,1.2173
140,-0.36541,1.2108
141,-0.36905,1.214
142,-0.36703,1.2067
143,-0.3646,1.2084
144,-0.37390999999999996,1.2309999999999999
145,-0.37553000000000003,1.2262
146,-0.36743000000000003,1.2132
147,-0.36743000000000003,1.2075
148,-0.37067,1.227
149,-0.36622,1.2318
150,-0.36985999999999997,1.2254
151,-0.35852,1.2108
152,-0.36419,1.2205
153,-0.36419,1.2213
154,-0.35974,1.2043
155,-0.35974,1.2043
156,-0.36783000000000005,1.2318
157,-0.36419,1.2221
158,-0.36217,1.2124
159,-0.36580999999999997,1.2278
160,-0.36257,1.2164
161,-0.36338000000000004,1.2148
162,-0.36743000000000003,1.2326
163,-0.35893,1.2075
164,-0.35933000000000004,1.2059
165,-0.36541,1.2197
166,-0.35448,1.2043
167,-0.35245,1.2075
168,-0.36217,1.2294
169,-0.35448,1.2035
170,-0.36338000000000004,1.2213
171,-0.35569,1.2132
172,-0.35812,1.2213
173,-0.35812,1.2213
174,-0.36175999999999997,1.2309999999999999
175,-0.35569,1.21
176,-0.36298,1.2278
177,-0.35326,1.2108
178,-0.35852,1.2221
179,-0.36095,1.2189
180,-0.35933000000000004,1.227
181,-0.35933000000000004,1.2181
182,-0.35569,1.2132
183,-0.35529,1.2067
184,-0.35002,1.214
185,-0.35124,1.2181
186,-0.34759,1.2124
187,-0.35002,1.2156
188,-0.34920999999999996,1.2108
189,-0.35488000000000003,1.2326
190,-0.35002,1.2116
191,-0.35002,1.2116
192,-0.35812,1.2245
