,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level
112,30.0,36.0,26.0,24.0,30.0,13.0
113,30.0,34.0,25.0,23.0,29.0,11.0
114,29.0,35.0,25.0,24.0,27.0,11.0
115,27.0,37.0,25.0,26.0,27.0,11.0
116,27.0,35.0,25.0,26.0,27.0,11.0
117,29.0,35.0,24.0,28.0,27.0,11.0
118,28.0,38.0,23.0,29.0,26.0,11.0
119,28.0,40.0,22.0,28.0,24.0,11.0
120,28.0,35.0,22.0,28.0,27.0,11.0
121,26.0,36.0,22.0,28.0,27.0,11.0
122,27.0,37.0,23.0,30.0,26.0,11.0
123,28.0,38.0,24.0,31.0,27.0,11.0
124,28.0,37.0,26.0,33.0,26.0,11.0
125,29.0,35.0,28.0,32.0,32.0,11.0
126,30.0,35.0,29.0,33.0,31.0,11.0
127,30.0,37.0,32.0,41.0,29.0,11.0
128,30.0,38.0,32.0,36.0,27.0,11.0
129,30.0,38.0,33.0,27.0,25.0,11.0
130,32.0,41.0,32.0,25.0,23.0,11.0
131,30.0,44.0,33.0,25.0,24.0,11.0
132,30.0,43.0,33.0,24.0,22.0,11.0
133,28.0,43.0,32.0,27.0,24.0,11.0
134,29.0,54.0,31.0,26.0,24.0,11.0
135,30.0,53.0,28.0,27.0,24.0,16.0
136,28.0,46.0,28.0,27.0,25.0,12.0
137,31.0,45.0,28.0,30.0,21.0,11.0
138,28.0,47.0,27.0,28.0,20.0,11.0
139,26.0,48.0,26.0,31.0,23.0,11.0
140,24.0,43.0,25.0,29.0,21.0,11.0
141,25.0,45.0,24.0,27.0,22.0,11.0
142,24.0,43.0,24.0,29.0,21.0,11.0
143,28.0,43.0,24.0,29.0,23.0,11.0
144,28.0,43.0,25.0,28.0,18.0,11.0
145,26.0,42.0,24.0,27.0,18.0,11.0
146,27.0,47.0,23.0,27.0,19.0,11.0
147,28.0,46.0,23.0,28.0,18.0,11.0
148,27.0,43.0,22.0,27.0,18.0,11.0
149,30.0,42.0,23.0,28.0,16.0,11.0
150,30.0,39.0,23.0,29.0,16.0,11.0
151,30.0,39.0,23.0,33.0,14.0,11.0
152,31.0,37.0,25.0,34.0,15.0,11.0
153,32.0,36.0,25.0,33.0,15.0,11.0
154,32.0,36.0,25.0,35.0,16.0,11.0
155,30.0,34.0,26.0,38.0,16.0,12.0
156,29.0,33.0,25.0,36.0,15.0,11.0
157,26.0,33.0,25.0,29.0,15.0,11.0
158,27.0,34.0,26.0,29.0,16.0,11.0
159,28.0,34.0,26.0,27.0,16.0,11.0
160,28.0,39.0,27.0,28.0,16.0,11.0
161,24.0,40.0,26.0,29.0,15.0,11.0
162,24.0,36.0,27.0,28.0,16.0,11.0
163,22.0,32.0,29.0,25.0,14.0,11.0
164,22.0,31.0,29.0,26.0,13.0,11.0
165,21.0,31.0,28.0,26.0,13.0,11.0
166,22.0,31.0,27.0,24.0,13.0,11.0
167,21.0,30.0,25.0,22.0,13.0,11.0
168,20.0,29.0,25.0,23.0,13.0,12.0
169,22.0,30.0,24.0,22.0,12.0,11.0
170,23.0,31.0,23.0,22.0,12.0,11.0
171,20.0,29.0,22.0,24.0,12.0,11.0
172,19.0,30.0,22.0,24.0,13.0,11.0
173,19.0,31.0,22.0,25.0,13.0,11.0
174,18.0,32.0,20.0,26.0,13.0,11.0
175,17.0,32.0,20.0,26.0,14.0,11.0
176,16.0,33.0,20.0,26.0,16.0,11.0
177,15.0,32.0,19.0,25.0,16.0,11.0
178,14.0,31.0,18.0,26.0,16.0,11.0
179,13.0,33.0,18.0,28.0,16.0,11.0
180,13.0,34.0,16.0,27.0,16.0,11.0
181,12.0,33.0,16.0,28.0,15.0,11.0
182,12.0,33.0,15.0,28.0,15.0,11.0
183,12.0,34.0,16.0,32.0,14.0,11.0
184,12.0,34.0,15.0,30.0,13.0,11.0
185,12.0,34.0,16.0,31.0,13.0,11.0
186,12.0,33.0,16.0,29.0,11.0,11.0
187,12.0,33.0,17.0,32.0,11.0,11.0
188,12.0,36.0,17.0,31.0,11.0,11.0
189,12.0,34.0,18.0,29.0,11.0,11.0
190,12.0,36.0,19.0,27.0,11.0,11.0
191,11.0,35.0,19.0,26.0,11.0,11.0
192,12.0,32.0,19.0,27.0,11.0,11.0
193,11.0,34.0,18.0,25.0,11.0,11.0
194,11.0,34.0,19.0,25.0,11.0,11.0
195,11.0,35.0,19.0,26.0,11.0,11.0
196,11.0,35.0,19.0,26.0,11.0,11.0
197,11.0,35.0,19.0,24.0,11.0,11.0
198,11.0,35.0,20.0,23.0,11.0,11.0
199,11.0,35.0,20.0,24.0,11.0,13.0
200,11.0,30.0,21.0,25.0,11.0,13.0
201,11.0,30.0,21.0,25.0,11.0,12.0
202,11.0,30.0,21.0,25.0,11.0,12.0
203,11.0,27.0,21.0,25.0,11.0,11.0
204,11.0,26.0,20.0,26.0,11.0,11.0
205,11.0,25.0,19.0,26.0,11.0,11.0
206,11.0,24.0,19.0,26.0,11.0,11.0
207,11.0,22.0,18.0,28.0,11.0,11.0
208,11.0,22.0,16.0,30.0,11.0,11.0
209,11.0,21.0,15.0,30.0,11.0,11.0
210,11.0,22.0,14.0,30.0,11.0,11.0
211,12.0,22.0,13.0,30.0,11.0,11.0
212,11.0,22.0,13.0,30.0,12.0,11.0
213,13.0,21.0,13.0,33.0,12.0,11.0
214,12.0,21.0,13.0,33.0,11.0,11.0
215,12.0,20.0,13.0,33.0,14.0,11.0
216,11.0,20.0,14.0,30.0,15.0,11.0
217,11.0,20.0,14.0,31.0,15.0,11.0
218,11.0,20.0,14.0,30.0,14.0,11.0
219,12.0,20.0,14.0,29.0,11.0,12.0
220,11.0,20.0,14.0,29.0,11.0,11.0
221,11.0,19.0,15.0,27.0,11.0,11.0
222,11.0,19.0,16.0,26.0,11.0,12.0
223,11.0,20.0,16.0,29.0,11.0,12.0
224,11.0,19.0,17.0,28.0,11.0,12.0
225,11.0,19.0,17.0,26.0,11.0,12.0
226,11.0,19.0,16.0,26.0,11.0,12.0
227,11.0,17.0,16.0,24.0,11.0,12.0
228,11.0,17.0,15.0,24.0,11.0,12.0
229,11.0,17.0,14.0,23.0,11.0,14.0
230,11.0,17.0,13.0,22.0,11.0,13.0
231,11.0,18.0,12.0,22.0,11.0,13.0
232,11.0,19.0,12.0,22.0,11.0,12.0
233,11.0,17.0,11.0,24.0,11.0,12.0
234,11.0,17.0,11.0,24.0,11.0,12.0
235,11.0,18.0,11.0,20.0,11.0,12.0
236,11.0,18.0,11.0,20.0,11.0,11.0
237,11.0,17.0,12.0,19.0,11.0,12.0
238,11.0,17.0,11.0,17.0,11.0,12.0
239,11.0,17.0,11.0,17.0,11.0,13.0
240,11.0,16.0,11.0,17.0,11.0,13.0
241,11.0,15.0,11.0,16.0,11.0,13.0
242,11.0,14.0,11.0,16.0,11.0,13.0
243,11.0,14.0,11.0,16.0,11.0,13.0
244,11.0,14.0,11.0,16.0,11.0,14.0
245,11.0,14.0,11.0,15.0,11.0,14.0
246,11.0,14.0,11.0,15.0,11.0,15.0
247,11.0,13.0,11.0,15.0,11.0,16.0
248,11.0,13.0,11.0,15.0,11.0,15.0
249,11.0,14.0,11.0,15.0,11.0,14.0
250,11.0,14.0,11.0,15.0,11.0,15.0
251,11.0,14.0,11.0,15.0,11.0,16.0
252,11.0,14.0,11.0,15.0,11.0,16.0
253,11.0,14.0,11.0,14.0,11.0,16.0
254,11.0,15.0,11.0,14.0,11.0,16.0
255,11.0,15.0,11.0,14.0,11.0,17.0
256,12.0,15.0,11.0,13.0,11.0,19.0
257,12.0,16.0,11.0,13.0,11.0,18.0
258,12.0,16.0,11.0,12.0,11.0,18.0
259,13.0,15.0,11.0,12.0,11.0,20.0
260,13.0,15.0,11.0,12.0,11.0,21.0
261,12.0,14.0,15.0,12.0,11.0,19.0
262,12.0,14.0,14.0,12.0,11.0,19.0
263,12.0,13.0,17.0,12.0,11.0,18.0
264,13.0,13.0,20.0,12.0,11.0,19.0
265,19.0,13.0,20.0,12.0,11.0,21.0
266,19.0,13.0,18.0,12.0,11.0,21.0
267,18.0,13.0,18.0,12.0,11.0,21.0
268,18.0,13.0,11.0,12.0,11.0,21.0
269,18.0,12.0,11.0,12.0,11.0,20.0
270,18.0,12.0,11.0,12.0,11.0,19.0
271,16.0,12.0,11.0,12.0,11.0,17.0
272,16.0,12.0,11.0,12.0,11.0,17.0
273,16.0,12.0,11.0,12.0,11.0,17.0
274,16.0,13.0,11.0,12.0,11.0,17.0
275,16.0,12.0,11.0,13.0,11.0,16.0
276,15.0,12.0,11.0,12.0,11.0,16.0
277,15.0,12.0,11.0,12.0,11.0,15.0
278,15.0,12.0,11.0,12.0,11.0,15.0
279,14.0,12.0,11.0,12.0,11.0,15.0
280,13.0,12.0,11.0,12.0,11.0,15.0
281,13.0,12.0,11.0,13.0,11.0,16.0
282,13.0,12.0,11.0,12.0,11.0,15.0
283,12.0,12.0,11.0,12.0,11.0,15.0
284,12.0,12.0,11.0,12.0,11.0,16.0
285,11.0,12.0,11.0,12.0,11.0,16.0
286,11.0,12.0,11.0,12.0,11.0,17.0
287,11.0,12.0,11.0,13.0,11.0,17.0
