,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_athens
70,142.0,17.0,4.0,5.0,16.0,24.0,21.0,271.0,8.0,12.0
71,177.0,13.0,4.0,0.0,16.0,16.0,22.0,280.0,8.0,10.0
72,177.0,13.0,4.0,0.0,16.0,16.0,22.0,280.0,8.0,10.0
73,201.0,12.0,3.0,0.0,0.0,16.0,33.0,272.0,18.0,7.0
74,201.0,12.0,3.0,0.0,0.0,16.0,33.0,272.0,18.0,7.0
75,198.0,14.0,2.0,0.0,5.0,29.0,56.0,163.0,33.0,12.0
76,198.0,14.0,2.0,0.0,5.0,29.0,56.0,163.0,33.0,12.0
77,181.0,17.0,2.0,10.0,5.0,33.0,62.0,160.0,39.0,12.0
78,181.0,17.0,2.0,10.0,5.0,33.0,62.0,160.0,39.0,12.0
79,178.0,21.0,2.0,11.0,0.0,33.0,72.0,203.0,27.0,21.0
80,178.0,21.0,2.0,11.0,0.0,33.0,72.0,203.0,27.0,21.0
81,163.0,21.0,3.0,11.0,21.0,13.0,133.0,178.0,15.0,24.0
82,163.0,21.0,3.0,11.0,21.0,13.0,133.0,178.0,15.0,24.0
83,126.0,28.0,5.0,3.0,27.0,14.0,78.0,184.0,14.0,25.0
84,126.0,28.0,5.0,3.0,27.0,14.0,78.0,184.0,14.0,25.0
85,79.0,44.0,6.0,4.0,40.0,15.0,36.0,122.0,14.0,29.0
86,79.0,44.0,6.0,4.0,40.0,15.0,36.0,122.0,14.0,29.0
87,75.0,52.0,2.0,5.0,28.0,16.0,31.0,77.0,18.0,41.0
88,75.0,52.0,2.0,5.0,28.0,16.0,31.0,77.0,18.0,41.0
89,54.0,68.0,3.0,2.0,16.0,16.0,11.0,53.0,15.0,51.0
90,54.0,68.0,3.0,2.0,16.0,16.0,11.0,53.0,15.0,51.0
91,65.0,78.0,3.0,0.0,3.0,18.0,9.0,48.0,17.0,53.0
92,65.0,78.0,3.0,0.0,3.0,18.0,9.0,48.0,17.0,53.0
93,74.0,82.0,3.0,1.0,11.0,20.0,13.0,43.0,23.0,53.0
94,74.0,82.0,3.0,1.0,11.0,20.0,13.0,43.0,23.0,53.0
95,70.0,102.0,0.0,1.0,15.0,32.0,19.0,41.0,24.0,54.0
96,70.0,102.0,0.0,1.0,15.0,32.0,19.0,41.0,24.0,54.0
97,79.0,87.0,1.0,3.0,18.0,39.0,25.0,38.0,20.0,65.0
98,79.0,87.0,1.0,3.0,18.0,39.0,25.0,38.0,20.0,65.0
99,74.0,108.0,1.0,4.0,30.0,39.0,39.0,40.0,22.0,43.0
100,74.0,108.0,1.0,4.0,30.0,39.0,39.0,40.0,22.0,43.0
101,68.0,180.0,1.0,4.0,84.0,29.0,56.0,49.0,18.0,27.0
102,68.0,180.0,1.0,4.0,84.0,29.0,56.0,49.0,18.0,27.0
103,70.0,180.0,2.0,3.0,76.0,21.0,86.0,52.0,15.0,26.0
104,70.0,180.0,2.0,3.0,76.0,21.0,86.0,52.0,15.0,26.0
105,76.0,167.0,2.0,3.0,68.0,15.0,70.0,55.0,19.0,26.0
106,76.0,167.0,2.0,3.0,68.0,15.0,70.0,55.0,19.0,26.0
107,77.0,175.0,2.0,6.0,78.0,20.0,58.0,59.0,24.0,24.0
108,77.0,175.0,2.0,6.0,78.0,20.0,58.0,59.0,24.0,24.0
109,93.0,200.0,1.0,7.0,91.0,22.0,38.0,51.0,26.0,30.0
110,93.0,200.0,1.0,7.0,91.0,22.0,38.0,51.0,26.0,30.0
111,109.0,146.0,2.0,6.0,0.0,17.0,24.0,52.0,34.0,35.0
112,109.0,146.0,2.0,6.0,0.0,17.0,24.0,52.0,34.0,35.0
113,126.0,144.0,2.0,9.0,0.0,19.0,23.0,48.0,43.0,40.0
114,126.0,144.0,2.0,9.0,0.0,19.0,23.0,48.0,43.0,40.0
115,131.0,141.0,1.0,28.0,0.0,15.0,26.0,36.0,46.0,41.0
116,131.0,141.0,1.0,28.0,0.0,15.0,26.0,36.0,46.0,41.0
117,124.0,54.0,2.0,28.0,1.0,11.0,19.0,19.0,38.0,35.0
118,124.0,54.0,2.0,28.0,1.0,11.0,19.0,19.0,38.0,35.0
119,165.0,49.0,3.0,34.0,11.0,15.0,26.0,25.0,41.0,33.0
120,165.0,49.0,3.0,34.0,11.0,15.0,26.0,25.0,41.0,33.0
121,183.0,40.0,1.0,42.0,11.0,13.0,24.0,26.0,56.0,36.0
122,183.0,40.0,1.0,42.0,11.0,13.0,24.0,26.0,56.0,36.0
123,163.0,55.0,1.0,53.0,6.0,15.0,18.0,21.0,71.0,51.0
124,163.0,55.0,1.0,53.0,6.0,15.0,18.0,21.0,71.0,51.0
125,161.0,72.0,1.0,64.0,27.0,6.0,9.0,15.0,64.0,61.0
126,161.0,72.0,1.0,64.0,27.0,6.0,9.0,15.0,64.0,61.0
127,177.0,62.0,2.0,65.0,34.0,5.0,10.0,14.0,40.0,59.0
128,177.0,62.0,2.0,65.0,34.0,5.0,10.0,14.0,40.0,59.0
129,202.0,57.0,2.0,76.0,51.0,7.0,12.0,7.0,33.0,63.0
130,202.0,57.0,2.0,76.0,51.0,7.0,12.0,7.0,33.0,63.0
131,201.0,69.0,2.0,96.0,42.0,8.0,14.0,8.0,20.0,66.0
132,201.0,69.0,2.0,96.0,42.0,8.0,14.0,8.0,20.0,66.0
133,215.0,85.0,2.0,97.0,17.0,10.0,15.0,9.0,30.0,76.0
134,215.0,85.0,2.0,97.0,17.0,10.0,15.0,9.0,30.0,76.0
135,210.0,81.0,4.0,122.0,21.0,12.0,11.0,11.0,42.0,89.0
136,210.0,81.0,4.0,122.0,21.0,12.0,11.0,11.0,42.0,89.0
137,183.0,77.0,4.0,118.0,27.0,21.0,11.0,15.0,51.0,69.0
138,183.0,77.0,4.0,118.0,27.0,21.0,11.0,15.0,51.0,69.0
139,163.0,70.0,2.0,112.0,27.0,40.0,14.0,26.0,50.0,57.0
140,163.0,70.0,2.0,112.0,27.0,40.0,14.0,26.0,50.0,57.0
141,182.0,70.0,2.0,142.0,6.0,40.0,16.0,45.0,57.0,59.0
142,182.0,70.0,2.0,142.0,6.0,40.0,16.0,45.0,57.0,59.0
143,178.0,45.0,3.0,144.0,8.0,40.0,22.0,53.0,51.0,57.0
144,178.0,45.0,3.0,144.0,8.0,40.0,22.0,53.0,51.0,57.0
145,164.0,45.0,3.0,119.0,14.0,30.0,40.0,138.0,33.0,61.0
146,164.0,45.0,3.0,119.0,14.0,30.0,40.0,138.0,33.0,61.0
147,182.0,0.0,2.0,101.0,21.0,36.0,49.0,102.0,9.0,65.0
148,182.0,0.0,2.0,101.0,21.0,36.0,49.0,102.0,9.0,65.0
149,180.0,11.0,2.0,115.0,42.0,37.0,60.0,99.0,4.0,46.0
150,180.0,11.0,2.0,115.0,42.0,37.0,60.0,99.0,4.0,46.0
151,152.0,15.0,1.0,161.0,57.0,31.0,62.0,123.0,3.0,35.0
152,152.0,15.0,1.0,161.0,57.0,31.0,62.0,123.0,3.0,35.0
153,150.0,13.0,2.0,167.0,67.0,22.0,68.0,133.0,14.0,39.0
154,150.0,13.0,2.0,167.0,67.0,22.0,68.0,133.0,14.0,39.0
155,136.0,11.0,2.0,157.0,17.0,19.0,80.0,131.0,14.0,49.0
156,136.0,11.0,2.0,157.0,17.0,19.0,80.0,131.0,14.0,49.0
157,184.0,11.0,0.0,161.0,0.0,12.0,101.0,104.0,7.0,29.0
158,184.0,11.0,0.0,161.0,0.0,12.0,101.0,104.0,7.0,29.0
159,213.0,11.0,0.0,140.0,10.0,8.0,78.0,112.0,6.0,16.0
160,213.0,11.0,0.0,140.0,10.0,8.0,78.0,112.0,6.0,16.0
161,238.0,17.0,0.0,167.0,14.0,0.0,78.0,136.0,6.0,11.0
162,238.0,17.0,0.0,167.0,14.0,0.0,78.0,136.0,6.0,11.0
163,143.0,14.0,2.0,310.0,14.0,0.0,82.0,130.0,3.0,9.0
164,143.0,14.0,2.0,310.0,14.0,0.0,82.0,130.0,3.0,9.0
165,245.0,11.0,2.0,264.0,0.0,0.0,86.0,96.0,3.0,8.0
166,245.0,11.0,2.0,264.0,0.0,0.0,86.0,96.0,3.0,8.0
167,238.0,13.0,0.0,179.0,0.0,0.0,88.0,58.0,12.0,11.0
168,238.0,13.0,0.0,179.0,0.0,0.0,88.0,58.0,12.0,11.0
169,241.0,13.0,0.0,148.0,0.0,29.0,130.0,60.0,11.0,11.0
170,241.0,13.0,0.0,148.0,0.0,29.0,130.0,60.0,11.0,11.0
171,224.0,0.0,0.0,18.0,0.0,42.0,119.0,63.0,26.0,10.0
172,224.0,0.0,0.0,18.0,0.0,42.0,119.0,63.0,26.0,10.0
173,128.0,0.0,0.0,28.0,3.0,46.0,100.0,84.0,28.0,10.0
174,128.0,0.0,0.0,28.0,3.0,46.0,100.0,84.0,28.0,10.0
175,114.0,0.0,0.0,28.0,17.0,29.0,107.0,51.0,26.0,17.0
176,114.0,0.0,0.0,28.0,17.0,29.0,107.0,51.0,26.0,17.0
177,125.0,0.0,1.0,0.0,17.0,16.0,61.0,56.0,30.0,16.0
178,125.0,0.0,1.0,0.0,17.0,16.0,61.0,56.0,30.0,16.0
179,73.0,0.0,2.0,0.0,0.0,16.0,14.0,54.0,29.0,13.0
180,73.0,0.0,2.0,0.0,0.0,16.0,14.0,54.0,29.0,13.0
181,65.0,11.0,3.0,5.0,0.0,16.0,14.0,41.0,14.0,14.0
182,65.0,11.0,3.0,5.0,0.0,16.0,14.0,41.0,14.0,14.0
183,63.0,16.0,3.0,5.0,0.0,23.0,18.0,24.0,33.0,16.0
184,63.0,16.0,3.0,5.0,0.0,23.0,18.0,24.0,33.0,16.0
185,69.0,19.0,4.0,6.0,7.0,16.0,5.0,25.0,24.0,17.0
186,69.0,19.0,4.0,6.0,7.0,16.0,5.0,25.0,24.0,17.0
187,95.0,20.0,2.0,6.0,15.0,23.0,6.0,26.0,28.0,17.0
188,95.0,20.0,2.0,6.0,15.0,23.0,6.0,26.0,28.0,17.0
189,81.0,22.0,2.0,5.0,10.0,32.0,11.0,20.0,33.0,15.0
190,81.0,22.0,2.0,5.0,10.0,32.0,11.0,20.0,33.0,15.0
191,70.0,29.0,1.0,8.0,3.0,40.0,23.0,17.0,36.0,14.0
192,70.0,29.0,1.0,8.0,3.0,40.0,23.0,17.0,36.0,14.0
193,78.0,42.0,3.0,13.0,4.0,47.0,34.0,19.0,31.0,17.0
194,78.0,42.0,3.0,13.0,4.0,47.0,34.0,19.0,31.0,17.0
195,85.0,34.0,4.0,17.0,7.0,59.0,42.0,21.0,28.0,20.0
196,85.0,34.0,4.0,17.0,7.0,59.0,42.0,21.0,28.0,20.0
197,95.0,46.0,3.0,22.0,9.0,74.0,53.0,23.0,26.0,19.0
198,95.0,46.0,3.0,22.0,9.0,74.0,53.0,23.0,26.0,19.0
199,115.0,52.0,8.0,24.0,12.0,86.0,59.0,30.0,34.0,24.0
200,115.0,52.0,8.0,24.0,12.0,86.0,59.0,30.0,34.0,24.0
201,108.0,49.0,7.0,28.0,16.0,89.0,56.0,34.0,44.0,32.0
202,108.0,49.0,7.0,28.0,16.0,89.0,56.0,34.0,44.0,32.0
203,102.0,42.0,4.0,19.0,19.0,89.0,55.0,44.0,71.0,43.0
204,102.0,42.0,4.0,19.0,19.0,89.0,55.0,44.0,71.0,43.0
