,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
314,30.0,9.0
315,26.0,7.0
316,30.0,14.0
317,17.0,9.0
318,22.0,13.0
319,14.0,13.0
320,24.0,8.0
321,22.0,18.0
322,27.0,15.0
323,23.0,9.0
324,31.0,12.0
325,20.0,8.0
326,21.0,15.0
327,35.0,10.0
328,20.0,14.0
329,23.0,10.0
330,29.0,11.0
331,17.0,9.0
332,24.0,8.0
333,27.0,7.0
334,26.0,13.0
335,23.0,7.0
336,21.0,12.0
337,18.0,12.0
338,21.0,16.0
339,20.0,18.0
340,21.0,16.0
341,34.0,14.0
342,29.0,10.0
343,24.0,12.0
344,21.0,8.0
345,15.0,8.0
346,28.0,9.0
347,30.0,13.0
348,17.0,8.0
349,26.0,10.0
350,24.0,8.0
351,16.0,14.0
352,22.0,8.0
353,27.0,10.0
354,11.0,16.0
355,30.0,12.0
356,21.0,10.0
357,27.0,9.0
358,22.0,18.0
359,29.0,15.0
360,28.0,11.0
361,23.0,9.0
362,23.0,12.0
363,22.0,7.0
364,32.0,12.0
365,22.0,13.0
366,30.0,12.0
367,24.0,17.0
368,29.0,8.0
369,24.0,18.0
370,24.0,9.0
371,19.0,12.0
372,15.0,14.0
373,28.0,12.0
374,25.0,18.0
375,29.0,12.0
376,22.0,14.0
377,22.0,9.0
378,22.0,10.0
379,21.0,12.0
380,10.0,11.0
381,19.0,6.0
382,21.0,12.0
383,22.0,15.0
384,27.0,16.0
385,23.0,11.0
386,28.0,10.0
387,23.0,14.0
388,30.0,12.0
389,17.0,11.0
390,21.0,12.0
391,21.0,7.0
392,22.0,9.0
393,17.0,13.0
394,23.0,15.0
395,19.0,8.0
396,31.0,5.0
397,13.0,6.0
398,25.0,7.0
399,21.0,14.0
400,24.0,9.0
401,22.0,13.0
402,25.0,7.0
403,16.0,10.0
404,10.0,13.0
405,26.0,10.0
406,33.0,12.0
407,29.0,5.0
408,29.0,15.0
409,25.0,10.0
410,19.0,10.0
411,19.0,12.0
412,23.0,13.0
413,14.0,11.0
414,21.0,8.0
415,26.0,10.0
416,26.0,10.0
417,21.0,11.0
418,21.0,10.0
419,17.0,9.0
420,27.0,9.0
421,18.0,8.0
422,14.0,11.0
423,20.0,8.0
424,24.0,9.0
425,26.0,4.0
426,17.0,8.0
427,26.0,8.0
428,25.0,11.0
429,17.0,8.0
430,20.0,8.0
431,20.0,7.0
432,24.0,7.0
433,12.0,10.0
434,12.0,9.0
435,22.0,14.0
436,25.0,10.0
437,11.0,17.0
438,19.0,7.0
439,22.0,8.0
440,17.0,13.0
441,19.0,9.0
442,13.0,8.0
443,21.0,6.0
444,18.0,8.0
445,18.0,18.0
446,18.0,10.0
447,27.0,12.0
448,26.0,6.0
449,22.0,5.0
450,20.0,12.0
451,18.0,14.0
452,26.0,7.0
453,20.0,10.0
454,24.0,10.0
455,24.0,8.0
456,19.0,8.0
457,27.0,11.0
458,14.0,10.0
459,19.0,9.0
460,21.0,10.0
461,22.0,12.0
462,18.0,11.0
463,13.0,14.0
464,19.0,10.0
465,23.0,7.0
466,12.0,13.0
467,26.0,10.0
468,25.0,15.0
469,25.0,11.0
470,25.0,6.0
471,20.0,9.0
472,10.0,10.0
473,19.0,6.0
474,21.0,5.0
475,12.0,16.0
476,23.0,16.0
477,14.0,8.0
478,13.0,12.0
479,14.0,17.0
480,17.0,10.0
481,17.0,10.0
482,19.0,14.0
483,17.0,11.0
484,15.0,11.0
485,11.0,9.0
486,18.0,17.0
487,13.0,11.0
488,14.0,13.0
489,12.0,8.0
490,21.0,6.0
491,19.0,10.0
492,14.0,12.0
493,23.0,5.0
494,12.0,5.0
495,17.0,8.0
496,14.0,13.0
497,15.0,9.0
498,14.0,5.0
499,22.0,4.0
500,18.0,13.0
501,15.0,6.0
502,12.0,11.0
503,10.0,16.0
504,8.0,12.0
505,19.0,7.0
506,15.0,4.0
507,14.0,8.0
508,21.0,5.0
509,15.0,4.0
510,17.0,13.0
511,21.0,14.0
512,19.0,13.0
513,22.0,1.0
514,10.0,9.0
515,7.0,7.0
516,14.0,9.0
517,19.0,10.0
518,18.0,6.0
519,15.0,14.0
520,15.0,5.0
521,11.0,8.0
522,14.0,11.0
523,13.0,7.0
524,19.0,9.0
525,12.0,11.0
526,11.0,3.0
527,18.0,9.0
528,15.0,8.0
529,15.0,7.0
530,20.0,9.0
531,14.0,5.0
532,17.0,4.0
533,15.0,4.0
534,18.0,4.0
535,10.0,7.0
536,16.0,7.0
537,13.0,9.0
538,14.0,13.0
539,13.0,3.0
540,13.0,7.0
541,17.0,9.0
542,18.0,8.0
543,20.0,10.0
544,26.0,8.0
545,13.0,4.0
546,13.0,6.0
547,7.0,5.0
548,12.0,4.0
549,15.0,7.0
550,10.0,8.0
551,14.0,6.0
552,18.0,10.0
553,21.0,6.0
554,7.0,7.0
555,10.0,6.0
556,14.0,8.0
557,11.0,14.0
558,14.0,5.0
559,17.0,5.0
560,18.0,4.0
561,10.0,3.0
562,8.0,8.0
563,10.0,6.0
564,11.0,7.0
565,13.0,5.0
566,9.0,6.0
567,9.0,6.0
568,10.0,3.0
569,12.0,4.0
570,8.0,9.0
571,10.0,3.0
572,21.0,11.0
573,10.0,8.0
574,17.0,12.0
575,18.0,2.0
576,19.0,8.0
577,11.0,3.0
578,13.0,11.0
579,18.0,9.0
580,12.0,7.0
581,19.0,4.0
582,13.0,6.0
583,13.0,14.0
584,13.0,2.0
585,16.0,5.0
586,19.0,5.0
587,19.0,8.0
588,13.0,10.0
589,19.0,4.0
590,16.0,9.0
591,22.0,7.0
592,19.0,7.0
593,20.0,4.0
594,16.0,7.0
595,13.0,7.0
596,13.0,5.0
597,11.0,8.0
598,8.0,5.0
599,5.0,10.0
600,11.0,7.0
601,13.0,3.0
602,11.0,4.0
603,8.0,10.0
604,14.0,7.0
605,23.0,5.0
606,19.0,10.0
607,6.0,7.0
608,11.0,6.0
609,9.0,4.0
610,11.0,9.0
611,13.0,3.0
612,10.0,6.0
613,3.0,6.0
614,13.0,9.0
615,8.0,6.0
616,11.0,3.0
617,15.0,4.0
618,17.0,9.0
619,10.0,8.0
620,12.0,7.0
621,8.0,4.0
622,18.0,9.0
623,18.0,4.0
624,9.0,6.0
625,10.0,7.0
626,12.0,3.0
627,11.0,5.0
628,7.0,8.0
629,10.0,7.0
630,15.0,7.0
631,11.0,7.0
632,3.0,6.0
633,18.0,7.0
634,8.0,7.0
635,10.0,10.0
636,10.0,12.0
637,8.0,11.0
638,13.0,7.0
639,13.0,7.0
640,9.0,8.0
641,13.0,8.0
642,6.0,9.0
643,10.0,9.0
644,10.0,8.0
645,9.0,5.0
646,11.0,8.0
647,11.0,9.0
648,11.0,7.0
649,11.0,8.0
650,11.0,2.0
651,6.0,7.0
652,11.0,2.0
653,12.0,7.0
654,15.0,4.0
655,21.0,4.0
656,15.0,9.0
657,13.0,2.0
658,12.0,9.0
659,9.0,6.0
660,14.0,6.0
661,9.0,8.0
662,16.0,11.0
663,8.0,7.0
664,8.0,7.0
665,11.0,3.0
666,5.0,8.0
667,14.0,3.0
668,6.0,8.0
669,15.0,8.0
670,12.0,4.0
671,5.0,7.0
672,11.0,7.0
673,12.0,3.0
674,15.0,8.0
675,7.0,5.0
676,15.0,5.0
677,9.0,9.0
678,6.0,1.0
679,9.0,12.0
680,11.0,10.0
681,13.0,5.0
682,7.0,5.0
683,15.0,10.0
684,11.0,9.0
685,5.0,10.0
686,14.0,7.0
687,14.0,9.0
688,10.0,12.0
689,8.0,5.0
690,13.0,8.0
691,10.0,4.0
692,10.0,4.0
693,3.0,3.0
694,13.0,4.0
695,16.0,8.0
696,15.0,9.0
697,14.0,8.0
698,11.0,5.0
699,14.0,3.0
700,6.0,3.0
701,3.0,9.0
702,6.0,5.0
703,16.0,5.0
704,10.0,5.0
705,12.0,5.0
706,10.0,4.0
707,18.0,4.0
708,13.0,15.0
709,14.0,3.0
710,9.0,6.0
711,18.0,7.0
712,9.0,4.0
713,13.0,6.0
714,14.0,6.0
715,11.0,8.0
716,10.0,10.0
717,11.0,9.0
718,9.0,6.0
719,17.0,7.0
720,13.0,3.0
721,10.0,7.0
722,5.0,5.0
723,11.0,6.0
724,15.0,7.0
725,8.0,9.0
726,10.0,5.0
727,10.0,5.0
728,7.0,3.0
729,13.0,4.0
730,8.0,5.0
731,17.0,7.0
732,11.0,4.0
733,13.0,7.0
734,9.0,6.0
735,10.0,8.0
736,17.0,4.0
737,12.0,9.0
738,8.0,8.0
739,6.0,12.0
740,10.0,4.0
741,13.0,4.0
742,9.0,9.0
743,12.0,5.0
744,12.0,1.0
745,12.0,4.0
746,3.0,9.0
747,11.0,1.0
748,12.0,5.0
749,4.0,4.0
750,7.0,8.0
751,17.0,3.0
752,17.0,10.0
753,11.0,9.0
754,13.0,6.0
755,16.0,11.0
756,14.0,6.0
757,11.0,4.0
758,8.0,7.0
759,15.0,6.0
760,13.0,8.0
761,10.0,8.0
762,17.0,4.0
763,17.0,7.0
764,11.0,5.0
765,17.0,6.0
766,9.0,4.0
767,15.0,7.0
768,8.0,5.0
769,10.0,7.0
770,10.0,8.0
771,11.0,9.0
772,8.0,12.0
773,12.0,4.0
774,9.0,9.0
775,14.0,5.0
776,21.0,4.0
777,9.0,8.0
778,16.0,2.0
779,10.0,6.0
780,12.0,4.0
781,16.0,6.0
782,14.0,5.0
783,8.0,15.0
784,16.0,3.0
785,8.0,5.0
786,12.0,4.0
787,11.0,8.0
788,12.0,3.0
789,10.0,4.0
790,11.0,10.0
791,8.0,5.0
792,13.0,4.0
793,11.0,4.0
794,12.0,5.0
795,8.0,5.0
796,11.0,6.0
797,11.0,7.0
798,12.0,4.0
799,14.0,7.0
800,14.0,7.0
801,13.0,8.0
802,14.0,7.0
803,10.0,6.0
804,8.0,9.0
805,13.0,6.0
806,14.0,5.0
807,9.0,7.0
808,14.0,6.0
809,10.0,4.0
810,8.0,6.0
811,14.0,5.0
812,6.0,5.0
813,15.0,8.0
814,11.0,7.0
815,15.0,6.0
816,11.0,7.0
817,7.0,10.0
818,15.0,7.0
819,11.0,4.0
820,13.0,8.0
821,12.0,3.0
822,10.0,2.0
823,13.0,7.0
824,14.0,5.0
825,10.0,8.0
826,13.0,7.0
827,7.0,4.0
828,12.0,7.0
829,10.0,6.0
830,21.0,5.0
831,7.0,6.0
832,7.0,9.0
833,8.0,7.0
834,12.0,7.0
835,18.0,11.0
836,12.0,9.0
837,9.0,11.0
838,13.0,7.0
839,20.0,6.0
840,11.0,15.0
841,14.0,4.0
842,6.0,6.0
843,12.0,13.0
844,11.0,7.0
845,14.0,5.0
846,16.0,2.0
847,11.0,8.0
848,12.0,7.0
849,11.0,8.0
850,14.0,6.0
851,5.0,5.0
852,13.0,5.0
853,14.0,8.0
854,10.0,11.0
855,11.0,11.0
856,8.0,10.0
857,9.0,11.0
858,12.0,8.0
859,6.0,8.0
860,14.0,8.0
861,13.0,9.0
862,8.0,6.0
863,14.0,6.0
864,10.0,10.0
865,15.0,6.0
866,14.0,2.0
867,10.0,10.0
868,17.0,13.0
869,9.0,9.0
870,14.0,4.0
871,10.0,6.0
872,15.0,5.0
873,11.0,9.0
874,18.0,6.0
875,12.0,5.0
876,26.0,5.0
877,18.0,7.0
878,10.0,13.0
879,11.0,7.0
880,16.0,10.0
881,11.0,7.0
882,18.0,6.0
883,14.0,7.0
884,15.0,4.0
885,18.0,6.0
886,13.0,6.0
887,12.0,8.0
888,6.0,8.0
889,16.0,1.0
890,16.0,5.0
891,11.0,13.0
892,20.0,8.0
893,11.0,7.0
894,16.0,3.0
895,13.0,9.0
896,9.0,7.0
897,14.0,8.0
898,16.0,9.0
899,16.0,10.0
900,13.0,9.0
901,13.0,7.0
902,7.0,7.0
903,10.0,5.0
904,8.0,4.0
905,15.0,8.0
906,18.0,8.0
907,16.0,10.0
908,14.0,6.0
909,11.0,6.0
910,11.0,7.0
911,11.0,2.0
912,15.0,9.0
913,16.0,9.0
914,22.0,4.0
915,17.0,5.0
916,12.0,6.0
917,20.0,5.0
918,17.0,3.0
919,7.0,4.0
920,13.0,6.0
921,15.0,4.0
922,19.0,13.0
923,14.0,9.0
924,17.0,8.0
925,14.0,7.0
926,13.0,6.0
927,15.0,8.0
928,13.0,5.0
929,11.0,10.0
930,7.0,8.0
931,14.0,7.0
932,16.0,8.0
933,15.0,5.0
934,19.0,16.0
935,14.0,9.0
936,15.0,7.0
937,14.0,5.0
938,15.0,7.0
939,13.0,9.0
940,13.0,12.0
941,9.0,5.0
942,22.0,10.0
943,19.0,7.0
944,21.0,10.0
945,7.0,10.0
946,12.0,5.0
947,18.0,4.0
948,18.0,10.0
949,19.0,6.0
950,15.0,14.0
951,14.0,9.0
952,20.0,5.0
953,28.0,10.0
954,12.0,6.0
955,13.0,9.0
956,18.0,5.0
957,18.0,8.0
958,9.0,5.0
959,16.0,11.0
960,13.0,9.0
961,20.0,7.0
962,14.0,9.0
963,9.0,6.0
964,10.0,11.0
965,19.0,4.0
966,13.0,11.0
967,10.0,7.0
968,22.0,9.0
969,20.0,7.0
970,18.0,7.0
971,17.0,11.0
972,6.0,13.0
973,13.0,4.0
974,21.0,5.0
975,17.0,2.0
976,12.0,11.0
977,15.0,5.0
978,16.0,7.0
979,14.0,5.0
980,10.0,9.0
981,10.0,2.0
982,14.0,8.0
983,12.0,9.0
984,11.0,4.0
985,18.0,5.0
986,11.0,3.0
987,18.0,9.0
988,11.0,5.0
989,12.0,7.0
990,15.0,5.0
991,13.0,4.0
992,13.0,11.0
993,19.0,7.0
994,9.0,11.0
995,11.0,5.0
996,9.0,11.0
997,10.0,6.0
998,18.0,5.0
999,9.0,5.0
