,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
315,29.0,53.0
316,29.0,55.0
317,35.0,52.0
318,28.0,44.0
319,14.0,51.0
320,32.0,64.0
321,21.0,48.0
322,24.0,50.0
323,22.0,47.0
324,36.0,62.0
325,32.0,58.0
326,21.0,43.0
327,21.0,48.0
328,31.0,42.0
329,29.0,57.0
330,29.0,55.0
331,30.0,65.0
332,18.0,48.0
333,33.0,54.0
334,22.0,50.0
335,35.0,45.0
336,43.0,50.0
337,28.0,51.0
338,30.0,52.0
339,39.0,68.0
340,33.0,49.0
341,28.0,43.0
342,34.0,54.0
343,30.0,60.0
344,35.0,48.0
345,40.0,52.0
346,34.0,51.0
347,28.0,64.0
348,31.0,61.0
349,39.0,47.0
350,37.0,42.0
351,37.0,52.0
352,28.0,56.0
353,28.0,62.0
354,36.0,57.0
355,26.0,53.0
356,26.0,74.0
357,35.0,55.0
358,29.0,67.0
359,23.0,44.0
360,39.0,45.0
361,36.0,51.0
362,27.0,46.0
363,37.0,54.0
364,36.0,52.0
365,19.0,59.0
366,27.0,53.0
367,44.0,45.0
368,21.0,44.0
369,31.0,58.0
370,30.0,44.0
371,30.0,58.0
372,29.0,55.0
373,36.0,50.0
374,30.0,56.0
375,37.0,52.0
376,39.0,48.0
377,26.0,55.0
378,22.0,44.0
379,32.0,35.0
380,36.0,47.0
381,35.0,51.0
382,18.0,51.0
383,21.0,61.0
384,31.0,55.0
385,24.0,48.0
386,22.0,55.0
387,25.0,53.0
388,27.0,50.0
389,26.0,62.0
390,23.0,36.0
391,33.0,49.0
392,26.0,50.0
393,25.0,47.0
394,22.0,50.0
395,32.0,50.0
396,33.0,50.0
397,34.0,70.0
398,29.0,63.0
399,27.0,48.0
400,30.0,51.0
401,33.0,56.0
402,22.0,56.0
403,33.0,68.0
404,24.0,48.0
405,26.0,58.0
406,28.0,42.0
407,35.0,38.0
408,21.0,63.0
409,29.0,42.0
410,35.0,53.0
411,24.0,38.0
412,22.0,52.0
413,28.0,50.0
414,25.0,53.0
415,21.0,54.0
416,34.0,53.0
417,26.0,38.0
418,27.0,58.0
419,26.0,44.0
420,19.0,59.0
421,30.0,67.0
422,34.0,49.0
423,28.0,54.0
424,26.0,59.0
425,26.0,41.0
426,20.0,45.0
427,31.0,48.0
428,22.0,37.0
429,21.0,54.0
430,29.0,48.0
431,14.0,49.0
432,23.0,54.0
433,23.0,63.0
434,19.0,52.0
435,19.0,49.0
436,27.0,44.0
437,20.0,53.0
438,30.0,50.0
439,19.0,44.0
440,29.0,54.0
441,27.0,55.0
442,25.0,55.0
443,24.0,51.0
444,22.0,43.0
445,22.0,44.0
446,22.0,47.0
447,15.0,60.0
448,37.0,50.0
449,24.0,51.0
450,30.0,37.0
451,28.0,52.0
452,26.0,59.0
453,23.0,59.0
454,28.0,48.0
455,23.0,47.0
456,25.0,62.0
457,14.0,48.0
458,28.0,45.0
459,22.0,51.0
460,23.0,53.0
461,23.0,56.0
462,25.0,41.0
463,20.0,38.0
464,31.0,39.0
465,18.0,62.0
466,25.0,44.0
467,19.0,54.0
468,23.0,50.0
469,34.0,47.0
470,31.0,46.0
471,25.0,44.0
472,17.0,44.0
473,22.0,52.0
474,30.0,53.0
475,27.0,57.0
476,20.0,55.0
477,25.0,33.0
478,18.0,51.0
479,31.0,46.0
480,25.0,38.0
481,28.0,53.0
482,24.0,54.0
483,28.0,46.0
484,31.0,43.0
485,25.0,59.0
486,30.0,43.0
487,23.0,44.0
488,22.0,35.0
489,21.0,54.0
490,25.0,55.0
491,10.0,48.0
492,16.0,58.0
