,noaa_wind_speed_41008,noaa_wind_speed_44005,noaa_wind_speed_46061,noaa_wind_direction_44005,noaa_wind_direction_46061,noaa_wind_direction_41008
0,0.72,0.36,0.86,0.8833333333333333,0.46944444444444444,0.6166666666666667
1,0.72,0.36,0.86,0.8833333333333333,0.46944444444444444,0.6166666666666667
2,0.72,0.36,0.86,0.8833333333333333,0.46944444444444444,0.6166666666666667
3,0.5599999999999999,0.76,0.8699999999999999,0.011111111111111112,0.44166666666666665,0.7416666666666667
4,0.5599999999999999,0.76,0.8699999999999999,0.011111111111111112,0.44166666666666665,0.7416666666666667
5,0.5599999999999999,0.76,0.8699999999999999,0.011111111111111112,0.44166666666666665,0.7416666666666667
6,0.51,0.32,0.96,0.9527777777777777,0.37222222222222223,0.9777777777777777
7,0.51,0.32,0.96,0.9527777777777777,0.37222222222222223,0.9777777777777777
8,0.51,0.32,0.96,0.9527777777777777,0.37222222222222223,0.9777777777777777
9,0.32999999999999996,0.36,1.01,0.8944444444444445,0.3527777777777778,0.027777777777777776
10,0.32999999999999996,0.36,1.01,0.8944444444444445,0.3527777777777778,0.027777777777777776
11,0.32999999999999996,0.36,1.01,0.8944444444444445,0.3527777777777778,0.027777777777777776
12,0.22999999999999998,0.3,1.0699999999999998,0.975,0.3527777777777778,0.06388888888888888
13,0.22999999999999998,0.3,1.0699999999999998,0.975,0.3527777777777778,0.06388888888888888
14,0.18,0.8099999999999999,1.1300000000000001,0.9388888888888889,0.325,0.525
15,0.18,0.8099999999999999,1.1300000000000001,0.9388888888888889,0.325,0.525
16,0.18,0.8099999999999999,1.1300000000000001,0.9388888888888889,0.325,0.525
17,0.15,1.23,0.96,0.06666666666666667,0.30277777777777776,0.5166666666666667
18,0.09,1.27,0.96,0.8972222222222223,0.2972222222222222,0.6666666666666666
19,0.09,1.27,0.96,0.8972222222222223,0.2972222222222222,0.6666666666666666
20,0.5,1.1099999999999999,0.89,0.9972222222222222,0.2916666666666667,0.8055555555555556
21,0.5,1.1099999999999999,0.89,0.9972222222222222,0.2916666666666667,0.8055555555555556
22,0.5,1.1099999999999999,0.89,0.9972222222222222,0.2916666666666667,0.8055555555555556
23,0.8699999999999999,1.25,0.67,0.8333333333333334,0.08888888888888889,0.9305555555555556
24,0.8699999999999999,1.25,0.67,0.8333333333333334,0.08888888888888889,0.9305555555555556
25,0.8699999999999999,1.25,0.67,0.8333333333333334,0.08888888888888889,0.9305555555555556
26,0.6799999999999999,1.22,0.82,0.8666666666666667,0.8972222222222223,0.025
27,0.6799999999999999,1.22,0.82,0.8666666666666667,0.8972222222222223,0.025
28,0.6799999999999999,1.22,0.82,0.8666666666666667,0.8972222222222223,0.025
29,0.32,1.4300000000000002,0.99,0.30833333333333335,0.9111111111111111,0.175
30,0.32,1.4300000000000002,0.99,0.30833333333333335,0.9111111111111111,0.175
31,0.32,1.4300000000000002,0.99,0.30833333333333335,0.9111111111111111,0.175
32,0.26,1.02,1.05,0.36944444444444446,0.8083333333333333,0.375
33,0.26,1.02,1.05,0.36944444444444446,0.8083333333333333,0.375
34,0.26,1.02,1.05,0.36944444444444446,0.8083333333333333,0.375
35,0.08,0.0,1.02,0.4583333333333333,0.8111111111111111,0.8944444444444445
36,0.08,0.0,1.02,0.4583333333333333,0.8111111111111111,0.8944444444444445
37,0.08,0.0,1.02,0.4583333333333333,0.8111111111111111,0.8944444444444445
38,0.31,0.0,0.9,0.4583333333333333,0.7833333333333333,0.8666666666666667
39,0.31,0.0,0.9,0.4583333333333333,0.7833333333333333,0.8666666666666667
40,0.31,0.0,0.9,0.4583333333333333,0.7833333333333333,0.8666666666666667
41,0.39,0.0,0.71,0.4583333333333333,0.8694444444444445,0.8666666666666667
42,0.39,0.0,0.71,0.4583333333333333,0.8694444444444445,0.8666666666666667
43,0.39,0.0,0.71,0.4583333333333333,0.8694444444444445,0.8666666666666667
44,0.1,0.0,0.62,0.4583333333333333,0.7805555555555556,0.8166666666666667
45,0.1,0.0,0.62,0.4583333333333333,0.7805555555555556,0.8166666666666667
46,0.1,0.0,0.62,0.4583333333333333,0.7805555555555556,0.8166666666666667
47,0.0,0.0,0.51,0.4583333333333333,0.7972222222222223,0.48055555555555557
48,0.0,0.0,0.51,0.4583333333333333,0.7972222222222223,0.48055555555555557
49,0.0,0.0,0.51,0.4583333333333333,0.7972222222222223,0.48055555555555557
50,0.05,0.0,0.5599999999999999,0.4583333333333333,0.95,0.2222222222222222
51,0.05,0.0,0.5599999999999999,0.4583333333333333,0.95,0.2222222222222222
52,0.05,0.0,0.5599999999999999,0.4583333333333333,0.95,0.2222222222222222
53,1.09,0.0,0.54,0.4583333333333333,0.7888888888888889,0.1361111111111111
54,1.09,0.0,0.54,0.4583333333333333,0.7888888888888889,0.1361111111111111
55,1.09,0.0,0.54,0.4583333333333333,0.7888888888888889,0.1361111111111111
56,1.09,0.0,0.47000000000000003,0.4583333333333333,0.9444444444444444,0.1361111111111111
57,1.15,0.0,0.47000000000000003,0.4583333333333333,0.9444444444444444,0.14722222222222223
58,1.15,0.0,0.47000000000000003,0.4583333333333333,0.9444444444444444,0.14722222222222223
59,1.15,0.0,0.47000000000000003,0.4583333333333333,0.9444444444444444,0.14722222222222223
60,1.23,0.0,0.35,0.4583333333333333,0.7694444444444445,0.14166666666666666
61,1.23,0.0,0.35,0.4583333333333333,0.7694444444444445,0.14166666666666666
62,1.23,0.0,0.35,0.4583333333333333,0.7694444444444445,0.14166666666666666
63,1.23,0.0,0.35,0.4583333333333333,0.7694444444444445,0.14166666666666666
