,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
314,15.0,57.0
315,29.0,83.0
316,43.0,26.0
317,9.0,11.0
318,4.0,109.0
319,22.0,85.0
320,29.0,92.0
321,32.0,57.0
322,25.0,77.0
323,19.0,80.0
324,20.0,58.0
325,25.0,36.0
326,29.0,45.0
327,25.0,67.0
328,26.0,71.0
329,25.0,57.0
330,23.0,57.0
331,24.0,9.0
332,6.0,10.0
333,11.0,56.0
334,26.0,63.0
335,31.0,44.0
336,16.0,35.0
337,24.0,373.0
338,132.0,358.0
339,153.0,273.0
340,137.0,293.0
341,140.0,257.0
342,135.0,305.0
343,170.0,343.0
344,147.0,491.0
345,164.0,505.0
346,153.0,478.0
347,167.0,472.0
348,149.0,585.0
349,156.0,431.0
350,143.0,501.0
351,141.0,392.0
352,167.0,434.0
353,156.0,445.0
354,174.0,460.0
355,159.0,307.0
356,151.0,381.0
357,172.0,419.0
358,144.0,415.0
359,169.0,479.0
360,184.0,438.0
361,206.0,481.0
362,215.0,325.0
363,190.0,369.0
364,171.0,340.0
365,186.0,306.0
366,176.0,333.0
367,163.0,309.0
368,144.0,327.0
369,158.0,285.0
370,136.0,287.0
371,160.0,303.0
372,158.0,311.0
373,169.0,293.0
374,160.0,334.0
375,169.0,307.0
376,158.0,305.0
377,155.0,307.0
378,146.0,289.0
379,149.0,294.0
380,143.0,309.0
381,139.0,312.0
382,156.0,287.0
383,140.0,270.0
384,144.0,253.0
385,161.0,282.0
386,160.0,284.0
387,164.0,290.0
388,140.0,291.0
389,177.0,308.0
390,161.0,308.0
391,139.0,262.0
392,153.0,401.0
393,162.0,348.0
394,128.0,318.0
395,155.0,427.0
396,167.0,442.0
397,146.0,506.0
398,139.0,475.0
399,136.0,476.0
400,151.0,325.0
401,138.0,332.0
402,140.0,304.0
403,152.0,435.0
404,146.0,315.0
405,131.0,298.0
406,150.0,308.0
407,149.0,301.0
408,140.0,306.0
409,143.0,283.0
410,148.0,287.0
411,164.0,316.0
412,147.0,307.0
413,153.0,384.0
414,172.0,430.0
415,152.0,285.0
416,159.0,305.0
417,161.0,277.0
418,155.0,277.0
419,137.0,288.0
420,134.0,298.0
421,169.0,303.0
422,132.0,291.0
423,145.0,258.0
424,129.0,284.0
425,157.0,319.0
426,140.0,307.0
427,146.0,291.0
428,153.0,258.0
429,149.0,307.0
430,152.0,356.0
431,135.0,361.0
432,151.0,431.0
433,131.0,311.0
434,167.0,308.0
435,148.0,321.0
436,155.0,270.0
437,155.0,290.0
438,147.0,312.0
439,153.0,339.0
440,157.0,324.0
441,145.0,271.0
442,144.0,325.0
443,149.0,320.0
444,140.0,300.0
445,155.0,479.0
446,124.0,340.0
447,164.0,263.0
448,153.0,287.0
449,164.0,252.0
450,150.0,315.0
451,143.0,253.0
452,154.0,261.0
453,157.0,283.0
454,170.0,278.0
455,143.0,385.0
456,157.0,538.0
457,152.0,545.0
458,173.0,305.0
459,172.0,242.0
460,145.0,268.0
461,144.0,270.0
462,145.0,270.0
463,154.0,398.0
464,174.0,376.0
465,153.0,362.0
466,146.0,299.0
467,119.0,292.0
468,142.0,333.0
469,136.0,372.0
470,151.0,295.0
471,140.0,411.0
472,143.0,315.0
473,158.0,354.0
474,117.0,309.0
475,151.0,406.0
476,155.0,253.0
477,139.0,326.0
478,152.0,273.0
479,156.0,288.0
480,140.0,255.0
481,154.0,432.0
482,156.0,488.0
483,131.0,467.0
484,125.0,294.0
485,149.0,278.0
486,140.0,292.0
487,120.0,255.0
488,148.0,269.0
489,141.0,284.0
490,150.0,251.0
491,139.0,261.0
492,136.0,251.0
493,143.0,277.0
494,156.0,254.0
495,119.0,271.0
496,159.0,245.0
497,145.0,246.0
498,167.0,293.0
499,154.0,339.0
500,159.0,363.0
501,138.0,326.0
502,130.0,278.0
503,125.0,269.0
504,131.0,250.0
505,137.0,298.0
506,135.0,253.0
507,151.0,241.0
508,130.0,266.0
509,172.0,270.0
510,164.0,275.0
511,148.0,325.0
512,144.0,379.0
513,118.0,306.0
514,146.0,336.0
515,136.0,280.0
516,132.0,251.0
517,144.0,240.0
518,140.0,256.0
519,135.0,247.0
520,153.0,210.0
521,151.0,284.0
522,140.0,304.0
523,124.0,332.0
524,145.0,322.0
525,152.0,344.0
526,133.0,269.0
527,145.0,373.0
528,127.0,341.0
529,133.0,283.0
530,131.0,364.0
531,149.0,269.0
532,150.0,345.0
533,138.0,419.0
534,135.0,293.0
535,173.0,247.0
536,149.0,275.0
537,153.0,271.0
538,138.0,235.0
539,141.0,244.0
540,157.0,233.0
541,162.0,230.0
542,138.0,251.0
543,138.0,285.0
544,139.0,265.0
545,148.0,242.0
546,145.0,255.0
547,144.0,297.0
548,131.0,251.0
549,117.0,304.0
550,146.0,346.0
551,157.0,264.0
552,104.0,306.0
553,133.0,260.0
554,123.0,320.0
555,127.0,283.0
556,130.0,353.0
557,138.0,323.0
558,113.0,379.0
559,140.0,293.0
560,104.0,312.0
561,124.0,306.0
562,129.0,314.0
563,127.0,302.0
564,121.0,339.0
565,138.0,283.0
566,116.0,267.0
567,124.0,219.0
568,139.0,243.0
569,138.0,220.0
570,132.0,243.0
571,131.0,216.0
572,118.0,246.0
573,125.0,245.0
574,126.0,241.0
575,145.0,230.0
576,114.0,259.0
577,146.0,245.0
578,123.0,246.0
579,123.0,261.0
580,104.0,261.0
581,150.0,236.0
582,112.0,234.0
583,125.0,274.0
584,143.0,312.0
585,98.0,262.0
586,126.0,231.0
587,121.0,263.0
588,146.0,258.0
589,129.0,257.0
590,126.0,252.0
591,141.0,249.0
592,121.0,246.0
593,146.0,230.0
594,129.0,242.0
595,128.0,239.0
596,124.0,246.0
597,122.0,251.0
598,132.0,254.0
599,144.0,239.0
600,125.0,231.0
601,132.0,237.0
602,133.0,255.0
603,135.0,246.0
604,123.0,250.0
605,119.0,289.0
606,137.0,253.0
607,154.0,243.0
608,134.0,238.0
609,107.0,249.0
610,135.0,251.0
611,134.0,231.0
612,105.0,257.0
613,121.0,254.0
614,124.0,285.0
615,128.0,231.0
616,109.0,239.0
617,120.0,254.0
618,119.0,217.0
619,142.0,230.0
620,125.0,261.0
621,130.0,215.0
622,125.0,236.0
623,112.0,233.0
624,115.0,241.0
625,107.0,197.0
626,109.0,246.0
627,114.0,243.0
628,134.0,284.0
629,131.0,250.0
630,134.0,252.0
631,156.0,233.0
632,130.0,238.0
633,122.0,258.0
634,112.0,238.0
635,110.0,243.0
636,119.0,255.0
637,122.0,209.0
638,102.0,229.0
639,137.0,207.0
640,111.0,202.0
641,158.0,240.0
642,119.0,221.0
643,110.0,276.0
644,130.0,268.0
645,121.0,259.0
646,139.0,240.0
647,118.0,265.0
648,91.0,258.0
649,124.0,239.0
650,122.0,300.0
651,109.0,275.0
652,95.0,244.0
