,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
167,14.0,14.0,11.0,12.0
168,13.0,13.0,11.0,12.0
169,13.0,13.0,11.0,11.0
170,12.0,12.0,12.0,12.0
171,12.0,13.0,11.0,11.0
172,12.0,13.0,11.0,11.0
173,12.0,12.0,11.0,11.0
174,13.0,13.0,11.0,11.0
175,13.0,13.0,11.0,11.0
176,14.0,14.0,11.0,12.0
177,14.0,14.0,11.0,11.0
178,14.0,14.0,11.0,11.0
179,12.0,12.0,11.0,11.0
180,13.0,13.0,11.0,11.0
181,12.0,12.0,11.0,12.0
182,12.0,13.0,11.0,11.0
183,12.0,12.0,11.0,11.0
184,13.0,13.0,11.0,11.0
185,13.0,13.0,11.0,11.0
186,12.0,12.0,11.0,11.0
187,12.0,12.0,11.0,12.0
188,13.0,14.0,11.0,12.0
189,13.0,14.0,11.0,11.0
190,14.0,14.0,11.0,11.0
191,14.0,15.0,11.0,11.0
192,14.0,14.0,12.0,11.0
193,13.0,14.0,11.0,11.0
194,12.0,13.0,11.0,11.0
195,12.0,12.0,30.0,30.0
196,12.0,12.0,11.0,11.0
197,13.0,12.0,11.0,11.0
198,12.0,12.0,11.0,11.0
199,12.0,12.0,11.0,11.0
200,12.0,12.0,11.0,11.0
201,12.0,12.0,11.0,11.0
202,12.0,12.0,11.0,11.0
203,12.0,12.0,11.0,11.0
204,12.0,12.0,11.0,11.0
205,12.0,12.0,11.0,11.0
206,12.0,12.0,11.0,11.0
207,13.0,13.0,11.0,11.0
208,13.0,13.0,11.0,11.0
209,13.0,13.0,11.0,11.0
210,12.0,12.0,11.0,11.0
211,12.0,13.0,11.0,11.0
212,12.0,12.0,11.0,11.0
213,11.0,12.0,11.0,11.0
214,12.0,12.0,11.0,11.0
215,12.0,12.0,11.0,11.0
216,11.0,12.0,11.0,11.0
217,11.0,12.0,11.0,11.0
218,12.0,12.0,11.0,11.0
219,12.0,13.0,11.0,11.0
220,12.0,12.0,11.0,11.0
221,13.0,13.0,11.0,11.0
222,13.0,13.0,11.0,11.0
223,13.0,13.0,11.0,12.0
224,14.0,14.0,11.0,12.0
225,13.0,13.0,11.0,11.0
226,14.0,14.0,11.0,12.0
227,14.0,14.0,11.0,11.0
228,13.0,14.0,11.0,12.0
229,13.0,13.0,11.0,11.0
230,13.0,13.0,11.0,11.0
231,13.0,13.0,11.0,11.0
232,12.0,13.0,11.0,11.0
233,11.0,12.0,11.0,11.0
234,11.0,12.0,11.0,11.0
235,12.0,12.0,11.0,11.0
236,14.0,14.0,11.0,11.0
237,14.0,14.0,11.0,11.0
238,11.0,12.0,11.0,11.0
239,11.0,12.0,11.0,11.0
240,12.0,12.0,11.0,11.0
241,12.0,13.0,11.0,11.0
242,12.0,12.0,11.0,11.0
243,12.0,12.0,11.0,11.0
244,12.0,12.0,11.0,11.0
245,12.0,12.0,11.0,11.0
246,11.0,12.0,11.0,11.0
247,11.0,12.0,11.0,11.0
248,12.0,12.0,11.0,11.0
249,11.0,12.0,11.0,11.0
250,12.0,12.0,11.0,11.0
251,12.0,12.0,11.0,11.0
252,12.0,12.0,11.0,11.0
253,12.0,12.0,11.0,11.0
254,11.0,12.0,12.0,12.0
255,11.0,12.0,11.0,11.0
256,11.0,12.0,11.0,11.0
257,12.0,12.0,11.0,11.0
258,11.0,12.0,11.0,11.0
259,11.0,12.0,11.0,11.0
260,11.0,12.0,11.0,11.0
261,11.0,12.0,11.0,11.0
262,11.0,12.0,11.0,11.0
263,11.0,12.0,11.0,11.0
264,11.0,12.0,11.0,11.0
265,12.0,12.0,11.0,11.0
266,11.0,12.0,11.0,11.0
267,11.0,12.0,11.0,11.0
268,12.0,12.0,11.0,11.0
269,12.0,12.0,11.0,11.0
270,11.0,12.0,11.0,11.0
271,11.0,12.0,11.0,11.0
272,11.0,12.0,11.0,11.0
273,11.0,12.0,11.0,11.0
274,11.0,12.0,11.0,12.0
275,11.0,12.0,11.0,11.0
276,11.0,12.0,11.0,12.0
277,11.0,12.0,11.0,11.0
278,12.0,12.0,11.0,11.0
279,11.0,12.0,11.0,12.0
280,12.0,12.0,11.0,11.0
281,12.0,13.0,11.0,11.0
282,12.0,13.0,11.0,12.0
283,12.0,13.0,11.0,11.0
284,12.0,12.0,11.0,11.0
285,11.0,12.0,11.0,11.0
286,12.0,13.0,11.0,11.0
287,13.0,14.0,11.0,11.0
288,12.0,13.0,11.0,12.0
289,13.0,13.0,11.0,12.0
290,12.0,13.0,11.0,12.0
291,12.0,13.0,11.0,12.0
292,12.0,13.0,11.0,12.0
293,12.0,13.0,11.0,12.0
294,13.0,14.0,12.0,12.0
